,MVT_GT_New Orleans LA
01/01/2015 00:00:00,48
08/01/2016 00:00:00,100
02/01/2017 00:00:00,42
03/01/2017 00:00:00,31
05/01/2017 00:00:00,43
06/01/2017 00:00:00,51
07/01/2017 00:00:00,47
10/01/2017 00:00:00,50
02/01/2018 00:00:00,52
03/01/2018 00:00:00,42
04/01/2018 00:00:00,34
05/01/2018 00:00:00,48
08/01/2018 00:00:00,49
11/01/2018 00:00:00,35
12/01/2018 00:00:00,58
06/01/2019 00:00:00,60
07/01/2019 00:00:00,38
11/01/2019 00:00:00,31
01/01/2020 00:00:00,89
02/01/2020 00:00:00,59
04/01/2020 00:00:00,31
05/01/2020 00:00:00,26
07/01/2020 00:00:00,37
08/01/2020 00:00:00,34
09/01/2020 00:00:00,28
10/01/2020 00:00:00,38
12/01/2020 00:00:00,32
02/01/2021 00:00:00,37
03/01/2021 00:00:00,45
04/01/2021 00:00:00,32
12/01/2021 00:00:00,35
02/01/2022 00:00:00,42
03/01/2022 00:00:00,42
04/01/2022 00:00:00,62
05/01/2022 00:00:00,32
07/01/2022 00:00:00,58
08/01/2022 00:00:00,61
09/01/2022 00:00:00,45
10/01/2022 00:00:00,30
11/01/2022 00:00:00,41
12/01/2022 00:00:00,80
