,MVT_GT_Cincinnati OH
06/01/2015 00:00:00,74
01/01/2016 00:00:00,36
02/01/2016 00:00:00,34
03/01/2016 00:00:00,89
05/01/2016 00:00:00,50
06/01/2016 00:00:00,62
08/01/2016 00:00:00,40
10/01/2016 00:00:00,63
11/01/2016 00:00:00,42
12/01/2016 00:00:00,31
01/01/2017 00:00:00,53
02/01/2017 00:00:00,51
03/01/2017 00:00:00,46
06/01/2017 00:00:00,71
07/01/2017 00:00:00,53
08/01/2017 00:00:00,49
10/01/2017 00:00:00,38
11/01/2017 00:00:00,34
12/01/2017 00:00:00,49
02/01/2018 00:00:00,44
03/01/2018 00:00:00,59
08/01/2018 00:00:00,60
10/01/2018 00:00:00,41
12/01/2018 00:00:00,36
02/01/2019 00:00:00,40
08/01/2019 00:00:00,57
09/01/2019 00:00:00,40
10/01/2019 00:00:00,43
11/01/2019 00:00:00,26
12/01/2019 00:00:00,37
01/01/2020 00:00:00,43
02/01/2020 00:00:00,33
03/01/2020 00:00:00,40
04/01/2020 00:00:00,26
05/01/2020 00:00:00,37
07/01/2020 00:00:00,37
08/01/2020 00:00:00,61
09/01/2020 00:00:00,31
11/01/2020 00:00:00,42
01/01/2021 00:00:00,56
02/01/2021 00:00:00,46
03/01/2021 00:00:00,41
06/01/2021 00:00:00,60
09/01/2021 00:00:00,42
10/01/2021 00:00:00,83
11/01/2021 00:00:00,39
12/01/2021 00:00:00,36
01/01/2022 00:00:00,66
02/01/2022 00:00:00,30
03/01/2022 00:00:00,63
04/01/2022 00:00:00,30
05/01/2022 00:00:00,37
07/01/2022 00:00:00,71
08/01/2022 00:00:00,62
09/01/2022 00:00:00,83
10/01/2022 00:00:00,70
11/01/2022 00:00:00,39
12/01/2022 00:00:00,100
