,MVT_GT_New Orleans LA
06/01/2015 00:00:00,81
06/01/2016 00:00:00,37
08/01/2016 00:00:00,48
10/01/2016 00:00:00,51
02/01/2017 00:00:00,45
06/01/2017 00:00:00,100
11/01/2017 00:00:00,41
02/01/2018 00:00:00,48
04/01/2018 00:00:00,41
07/01/2018 00:00:00,36
09/01/2018 00:00:00,33
11/01/2018 00:00:00,40
12/01/2018 00:00:00,53
01/01/2019 00:00:00,54
05/01/2019 00:00:00,45
06/01/2019 00:00:00,52
10/01/2019 00:00:00,34
11/01/2019 00:00:00,45
12/01/2019 00:00:00,40
01/01/2020 00:00:00,99
02/01/2020 00:00:00,45
03/01/2020 00:00:00,27
08/01/2020 00:00:00,76
09/01/2020 00:00:00,27
10/01/2020 00:00:00,43
12/01/2020 00:00:00,35
01/01/2021 00:00:00,32
03/01/2021 00:00:00,29
01/01/2022 00:00:00,39
03/01/2022 00:00:00,42
04/01/2022 00:00:00,77
06/01/2022 00:00:00,38
07/01/2022 00:00:00,52
08/01/2022 00:00:00,35
09/01/2022 00:00:00,38
10/01/2022 00:00:00,51
12/01/2022 00:00:00,69
