,MVT_GT_New Orleans LA
01/01/2015 00:00:00,41
08/01/2016 00:00:00,58
10/01/2016 00:00:00,40
01/01/2017 00:00:00,36
02/01/2017 00:00:00,39
07/01/2017 00:00:00,41
09/01/2017 00:00:00,36
10/01/2017 00:00:00,78
11/01/2017 00:00:00,38
12/01/2017 00:00:00,34
02/01/2018 00:00:00,44
08/01/2018 00:00:00,49
09/01/2018 00:00:00,31
05/01/2019 00:00:00,49
06/01/2019 00:00:00,52
07/01/2019 00:00:00,65
11/01/2019 00:00:00,32
12/01/2019 00:00:00,73
01/01/2020 00:00:00,67
03/01/2020 00:00:00,31
04/01/2020 00:00:00,46
05/01/2020 00:00:00,24
06/01/2020 00:00:00,31
08/01/2020 00:00:00,38
10/01/2020 00:00:00,37
11/01/2020 00:00:00,31
01/01/2021 00:00:00,30
03/01/2021 00:00:00,38
05/01/2021 00:00:00,68
06/01/2021 00:00:00,48
07/01/2021 00:00:00,33
11/01/2021 00:00:00,40
01/01/2022 00:00:00,45
02/01/2022 00:00:00,38
03/01/2022 00:00:00,38
04/01/2022 00:00:00,57
05/01/2022 00:00:00,35
07/01/2022 00:00:00,100
08/01/2022 00:00:00,41
09/01/2022 00:00:00,30
10/01/2022 00:00:00,70
11/01/2022 00:00:00,49
12/01/2022 00:00:00,54
