,MVT_GT_Cincinnati OH
02/01/2016 00:00:00,38
03/01/2016 00:00:00,82
06/01/2016 00:00:00,71
07/01/2016 00:00:00,47
10/01/2016 00:00:00,51
11/01/2016 00:00:00,48
12/01/2016 00:00:00,36
01/01/2017 00:00:00,40
02/01/2017 00:00:00,42
03/01/2017 00:00:00,43
06/01/2017 00:00:00,57
07/01/2017 00:00:00,46
08/01/2017 00:00:00,44
10/01/2017 00:00:00,36
12/01/2017 00:00:00,57
01/01/2018 00:00:00,46
02/01/2018 00:00:00,41
03/01/2018 00:00:00,59
04/01/2018 00:00:00,33
08/01/2018 00:00:00,61
09/01/2018 00:00:00,31
10/01/2018 00:00:00,38
02/01/2019 00:00:00,48
04/01/2019 00:00:00,40
05/01/2019 00:00:00,50
08/01/2019 00:00:00,62
09/01/2019 00:00:00,57
10/01/2019 00:00:00,29
11/01/2019 00:00:00,29
12/01/2019 00:00:00,34
01/01/2020 00:00:00,35
02/01/2020 00:00:00,43
03/01/2020 00:00:00,29
07/01/2020 00:00:00,28
08/01/2020 00:00:00,51
10/01/2020 00:00:00,30
11/01/2020 00:00:00,38
12/01/2020 00:00:00,48
01/01/2021 00:00:00,42
02/01/2021 00:00:00,40
03/01/2021 00:00:00,47
06/01/2021 00:00:00,62
08/01/2021 00:00:00,37
09/01/2021 00:00:00,38
10/01/2021 00:00:00,82
12/01/2021 00:00:00,39
01/01/2022 00:00:00,55
03/01/2022 00:00:00,66
04/01/2022 00:00:00,39
05/01/2022 00:00:00,33
07/01/2022 00:00:00,83
08/01/2022 00:00:00,66
09/01/2022 00:00:00,62
10/01/2022 00:00:00,72
12/01/2022 00:00:00,100
