,MVT_GT_Tucson AZ
2015-01-01 00:00:00,35
2015-03-01 00:00:00,89
2015-04-01 00:00:00,39
2015-09-01 00:00:00,82
2015-12-01 00:00:00,74
2016-01-01 00:00:00,27
2016-03-01 00:00:00,25
2016-05-01 00:00:00,95
2016-09-01 00:00:00,47
2016-10-01 00:00:00,28
2017-04-01 00:00:00,35
2017-05-01 00:00:00,25
2017-10-01 00:00:00,28
2017-11-01 00:00:00,27
2018-02-01 00:00:00,63
2018-03-01 00:00:00,59
2018-04-01 00:00:00,32
2018-06-01 00:00:00,38
2018-07-01 00:00:00,22
2018-08-01 00:00:00,33
2018-09-01 00:00:00,28
2018-10-01 00:00:00,50
2019-01-01 00:00:00,46
2019-03-01 00:00:00,51
2019-04-01 00:00:00,80
2019-05-01 00:00:00,53
2019-08-01 00:00:00,23
2019-10-01 00:00:00,33
2020-01-01 00:00:00,29
2020-02-01 00:00:00,25
2020-06-01 00:00:00,37
2020-08-01 00:00:00,43
2020-09-01 00:00:00,55
2020-10-01 00:00:00,30
2020-11-01 00:00:00,26
2021-01-01 00:00:00,30
2021-02-01 00:00:00,41
2021-04-01 00:00:00,46
2021-05-01 00:00:00,32
2021-08-01 00:00:00,58
2021-11-01 00:00:00,37
2022-03-01 00:00:00,60
2022-04-01 00:00:00,58
2022-05-01 00:00:00,100
2022-07-01 00:00:00,41
2022-08-01 00:00:00,78
2022-11-01 00:00:00,43
