,MVT_GT_New Orleans LA
10/01/2015 00:00:00,100
05/01/2016 00:00:00,72
07/01/2016 00:00:00,65
08/01/2016 00:00:00,91
11/01/2016 00:00:00,55
12/01/2016 00:00:00,51
02/01/2017 00:00:00,54
06/01/2017 00:00:00,64
11/01/2017 00:00:00,51
12/01/2017 00:00:00,53
01/01/2018 00:00:00,49
02/01/2018 00:00:00,86
06/01/2018 00:00:00,47
08/01/2018 00:00:00,54
09/01/2018 00:00:00,56
12/01/2018 00:00:00,72
01/01/2019 00:00:00,49
05/01/2019 00:00:00,60
06/01/2019 00:00:00,88
07/01/2019 00:00:00,54
08/01/2019 00:00:00,47
11/01/2019 00:00:00,70
12/01/2019 00:00:00,43
01/01/2020 00:00:00,83
03/01/2020 00:00:00,39
04/01/2020 00:00:00,51
08/01/2020 00:00:00,42
09/01/2020 00:00:00,84
10/01/2020 00:00:00,61
11/01/2020 00:00:00,68
01/01/2022 00:00:00,54
02/01/2022 00:00:00,72
03/01/2022 00:00:00,48
04/01/2022 00:00:00,82
05/01/2022 00:00:00,50
07/01/2022 00:00:00,77
08/01/2022 00:00:00,43
10/01/2022 00:00:00,65
11/01/2022 00:00:00,67
12/01/2022 00:00:00,83
