,MVT_GT_Jacksonville FL
2015-01-01 00:00:00,49
2015-02-01 00:00:00,54
2015-12-01 00:00:00,100
2016-01-01 00:00:00,38
2016-03-01 00:00:00,41
2016-04-01 00:00:00,61
2016-06-01 00:00:00,71
2016-07-01 00:00:00,67
2016-08-01 00:00:00,24
2016-09-01 00:00:00,75
2016-10-01 00:00:00,57
2016-11-01 00:00:00,22
2016-12-01 00:00:00,68
2017-01-01 00:00:00,83
2017-02-01 00:00:00,39
2017-04-01 00:00:00,38
2017-06-01 00:00:00,43
2017-07-01 00:00:00,73
2017-12-01 00:00:00,22
2018-02-01 00:00:00,36
2018-03-01 00:00:00,19
2018-05-01 00:00:00,55
2018-07-01 00:00:00,28
2018-08-01 00:00:00,45
2018-09-01 00:00:00,22
2018-10-01 00:00:00,32
2018-12-01 00:00:00,65
2019-02-01 00:00:00,29
2019-03-01 00:00:00,69
2019-04-01 00:00:00,57
2019-05-01 00:00:00,36
2019-06-01 00:00:00,50
2019-07-01 00:00:00,24
2019-08-01 00:00:00,23
2019-10-01 00:00:00,16
2019-11-01 00:00:00,45
2019-12-01 00:00:00,45
2020-01-01 00:00:00,41
2020-02-01 00:00:00,21
2020-03-01 00:00:00,38
2020-04-01 00:00:00,46
2020-06-01 00:00:00,30
2020-07-01 00:00:00,33
2020-10-01 00:00:00,29
2020-12-01 00:00:00,45
2021-01-01 00:00:00,40
2021-02-01 00:00:00,35
2021-03-01 00:00:00,32
2021-05-01 00:00:00,35
2021-06-01 00:00:00,15
2021-07-01 00:00:00,34
2021-08-01 00:00:00,31
2021-09-01 00:00:00,26
2021-10-01 00:00:00,26
2021-11-01 00:00:00,40
2022-01-01 00:00:00,17
2022-02-01 00:00:00,35
2022-03-01 00:00:00,22
2022-04-01 00:00:00,51
2022-05-01 00:00:00,44
2022-07-01 00:00:00,27
2022-08-01 00:00:00,24
2022-09-01 00:00:00,25
2022-10-01 00:00:00,30
2022-11-01 00:00:00,56
2022-12-01 00:00:00,49
