,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,60
05/01/2015 00:00:00,75
08/01/2015 00:00:00,74
02/01/2016 00:00:00,55
03/01/2016 00:00:00,74
06/01/2016 00:00:00,61
08/01/2016 00:00:00,97
10/01/2016 00:00:00,74
11/01/2016 00:00:00,47
12/01/2016 00:00:00,37
03/01/2017 00:00:00,54
06/01/2017 00:00:00,69
07/01/2017 00:00:00,57
08/01/2017 00:00:00,48
10/01/2017 00:00:00,38
11/01/2017 00:00:00,71
12/01/2017 00:00:00,37
02/01/2018 00:00:00,41
03/01/2018 00:00:00,59
06/01/2018 00:00:00,61
07/01/2018 00:00:00,35
08/01/2018 00:00:00,67
12/01/2018 00:00:00,38
02/01/2019 00:00:00,58
04/01/2019 00:00:00,40
05/01/2019 00:00:00,33
07/01/2019 00:00:00,51
08/01/2019 00:00:00,81
10/01/2019 00:00:00,40
12/01/2019 00:00:00,38
01/01/2020 00:00:00,53
02/01/2020 00:00:00,30
03/01/2020 00:00:00,37
05/01/2020 00:00:00,37
07/01/2020 00:00:00,33
08/01/2020 00:00:00,41
12/01/2020 00:00:00,44
01/01/2021 00:00:00,59
03/01/2021 00:00:00,42
05/01/2021 00:00:00,46
06/01/2021 00:00:00,67
08/01/2021 00:00:00,35
09/01/2021 00:00:00,46
10/01/2021 00:00:00,100
11/01/2021 00:00:00,51
01/01/2022 00:00:00,67
02/01/2022 00:00:00,46
03/01/2022 00:00:00,81
04/01/2022 00:00:00,45
05/01/2022 00:00:00,32
07/01/2022 00:00:00,81
08/01/2022 00:00:00,89
09/01/2022 00:00:00,89
10/01/2022 00:00:00,71
11/01/2022 00:00:00,39
12/01/2022 00:00:00,88
