,MVT_GT_Milwaukee WI
2015-02-01 00:00:00,45
2015-03-01 00:00:00,44
2015-04-01 00:00:00,39
2015-06-01 00:00:00,48
2015-07-01 00:00:00,49
2015-08-01 00:00:00,82
2015-09-01 00:00:00,74
2015-11-01 00:00:00,40
2016-01-01 00:00:00,46
2016-02-01 00:00:00,31
2016-03-01 00:00:00,94
2016-04-01 00:00:00,26
2016-05-01 00:00:00,24
2016-07-01 00:00:00,20
2016-08-01 00:00:00,73
2016-09-01 00:00:00,49
2016-10-01 00:00:00,50
2016-11-01 00:00:00,31
2016-12-01 00:00:00,34
2017-01-01 00:00:00,81
2017-02-01 00:00:00,26
2017-04-01 00:00:00,29
2017-05-01 00:00:00,33
2017-07-01 00:00:00,46
2017-08-01 00:00:00,39
2017-09-01 00:00:00,44
2017-10-01 00:00:00,37
2017-11-01 00:00:00,66
2018-01-01 00:00:00,58
2018-02-01 00:00:00,46
2018-04-01 00:00:00,21
2018-05-01 00:00:00,27
2018-06-01 00:00:00,36
2018-07-01 00:00:00,40
2018-08-01 00:00:00,28
2018-09-01 00:00:00,24
2018-10-01 00:00:00,12
2018-11-01 00:00:00,30
2018-12-01 00:00:00,52
2019-01-01 00:00:00,12
2019-02-01 00:00:00,17
2019-03-01 00:00:00,19
2019-04-01 00:00:00,47
2019-05-01 00:00:00,47
2019-06-01 00:00:00,21
2019-08-01 00:00:00,27
2019-09-01 00:00:00,59
2019-10-01 00:00:00,45
2019-11-01 00:00:00,34
2019-12-01 00:00:00,42
2020-02-01 00:00:00,21
2020-03-01 00:00:00,21
2020-04-01 00:00:00,15
2020-05-01 00:00:00,19
2020-06-01 00:00:00,44
2020-07-01 00:00:00,12
2020-08-01 00:00:00,32
2020-09-01 00:00:00,32
2020-10-01 00:00:00,37
2020-11-01 00:00:00,37
2020-12-01 00:00:00,56
2021-02-01 00:00:00,37
2021-03-01 00:00:00,29
2021-04-01 00:00:00,33
2021-05-01 00:00:00,37
2021-06-01 00:00:00,71
2021-07-01 00:00:00,25
2021-08-01 00:00:00,36
2021-09-01 00:00:00,21
2021-10-01 00:00:00,84
2021-11-01 00:00:00,27
2021-12-01 00:00:00,45
2022-01-01 00:00:00,100
2022-02-01 00:00:00,55
2022-03-01 00:00:00,33
2022-04-01 00:00:00,64
2022-05-01 00:00:00,19
2022-06-01 00:00:00,36
2022-07-01 00:00:00,82
2022-08-01 00:00:00,55
2022-09-01 00:00:00,73
2022-10-01 00:00:00,19
2022-11-01 00:00:00,64
2022-12-01 00:00:00,42
