,MVT_GT_Memphis TN
2015-01-01 00:00:00,66
2015-02-01 00:00:00,84
2015-05-01 00:00:00,18
2015-06-01 00:00:00,31
2015-07-01 00:00:00,32
2015-10-01 00:00:00,23
2015-12-01 00:00:00,72
2016-03-01 00:00:00,19
2016-04-01 00:00:00,37
2016-05-01 00:00:00,33
2016-06-01 00:00:00,29
2016-07-01 00:00:00,39
2016-09-01 00:00:00,48
2016-12-01 00:00:00,52
2017-01-01 00:00:00,30
2017-03-01 00:00:00,58
2017-04-01 00:00:00,36
2017-05-01 00:00:00,100
2017-06-01 00:00:00,21
2017-07-01 00:00:00,27
2017-08-01 00:00:00,25
2017-09-01 00:00:00,69
2017-10-01 00:00:00,45
2017-11-01 00:00:00,52
2018-01-01 00:00:00,23
2018-02-01 00:00:00,53
2018-03-01 00:00:00,31
2018-04-01 00:00:00,62
2018-07-01 00:00:00,29
2018-08-01 00:00:00,25
2018-09-01 00:00:00,21
2018-10-01 00:00:00,19
2018-11-01 00:00:00,15
2018-12-01 00:00:00,27
2019-02-01 00:00:00,59
2019-04-01 00:00:00,18
2019-05-01 00:00:00,39
2019-06-01 00:00:00,26
2019-08-01 00:00:00,70
2019-09-01 00:00:00,20
2019-10-01 00:00:00,24
2019-11-01 00:00:00,22
2019-12-01 00:00:00,36
2020-01-01 00:00:00,44
2020-02-01 00:00:00,21
2020-04-01 00:00:00,26
2020-05-01 00:00:00,27
2020-06-01 00:00:00,37
2020-08-01 00:00:00,13
2020-09-01 00:00:00,37
2020-10-01 00:00:00,12
2020-11-01 00:00:00,30
2020-12-01 00:00:00,29
2021-01-01 00:00:00,39
2021-02-01 00:00:00,43
2021-04-01 00:00:00,16
2021-06-01 00:00:00,35
2021-07-01 00:00:00,78
2021-09-01 00:00:00,34
2021-10-01 00:00:00,33
2021-12-01 00:00:00,22
2022-01-01 00:00:00,22
2022-02-01 00:00:00,33
2022-03-01 00:00:00,35
2022-05-01 00:00:00,60
2022-06-01 00:00:00,50
2022-08-01 00:00:00,50
2022-09-01 00:00:00,59
2022-10-01 00:00:00,66
2022-11-01 00:00:00,25
2022-12-01 00:00:00,55
