,MVT_GT_Cincinnati OH
03/01/2016 00:00:00,54
04/01/2016 00:00:00,100
05/01/2016 00:00:00,36
06/01/2016 00:00:00,39
07/01/2016 00:00:00,46
10/01/2016 00:00:00,42
11/01/2016 00:00:00,45
12/01/2016 00:00:00,27
03/01/2017 00:00:00,45
06/01/2017 00:00:00,31
08/01/2017 00:00:00,29
09/01/2017 00:00:00,32
10/01/2017 00:00:00,34
11/01/2017 00:00:00,34
12/01/2017 00:00:00,43
01/01/2018 00:00:00,25
03/01/2018 00:00:00,47
06/01/2018 00:00:00,28
07/01/2018 00:00:00,32
08/01/2018 00:00:00,56
09/01/2018 00:00:00,29
10/01/2018 00:00:00,29
12/01/2018 00:00:00,39
02/01/2019 00:00:00,34
03/01/2019 00:00:00,45
04/01/2019 00:00:00,32
05/01/2019 00:00:00,27
07/01/2019 00:00:00,31
08/01/2019 00:00:00,56
09/01/2019 00:00:00,50
10/01/2019 00:00:00,36
11/01/2019 00:00:00,29
01/01/2020 00:00:00,46
02/01/2020 00:00:00,32
03/01/2020 00:00:00,36
04/01/2020 00:00:00,39
05/01/2020 00:00:00,31
07/01/2020 00:00:00,24
08/01/2020 00:00:00,44
09/01/2020 00:00:00,36
10/01/2020 00:00:00,28
11/01/2020 00:00:00,24
12/01/2020 00:00:00,35
01/01/2021 00:00:00,28
02/01/2021 00:00:00,32
03/01/2021 00:00:00,36
05/01/2021 00:00:00,27
06/01/2021 00:00:00,32
08/01/2021 00:00:00,24
09/01/2021 00:00:00,35
10/01/2021 00:00:00,66
11/01/2021 00:00:00,42
01/01/2022 00:00:00,54
03/01/2022 00:00:00,40
04/01/2022 00:00:00,40
05/01/2022 00:00:00,44
07/01/2022 00:00:00,52
08/01/2022 00:00:00,55
09/01/2022 00:00:00,69
10/01/2022 00:00:00,53
11/01/2022 00:00:00,39
12/01/2022 00:00:00,78
