,MVT_GT_Colorado Springs-Pueblo CO
2016-01-01 00:00:00,15
2016-05-01 00:00:00,24
2016-06-01 00:00:00,37
2016-11-01 00:00:00,21
2016-12-01 00:00:00,28
2017-01-01 00:00:00,32
2017-02-01 00:00:00,18
2017-03-01 00:00:00,15
2017-05-01 00:00:00,16
2017-07-01 00:00:00,16
2017-09-01 00:00:00,35
2018-01-01 00:00:00,30
2018-02-01 00:00:00,22
2018-04-01 00:00:00,28
2018-05-01 00:00:00,19
2018-06-01 00:00:00,15
2018-07-01 00:00:00,18
2018-08-01 00:00:00,18
2018-09-01 00:00:00,38
2018-11-01 00:00:00,31
2018-12-01 00:00:00,17
2019-01-01 00:00:00,11
2019-04-01 00:00:00,23
2019-06-01 00:00:00,64
2019-07-01 00:00:00,30
2019-09-01 00:00:00,35
2020-01-01 00:00:00,23
2020-03-01 00:00:00,19
2020-06-01 00:00:00,13
2020-08-01 00:00:00,9
2020-09-01 00:00:00,28
2020-11-01 00:00:00,12
2020-12-01 00:00:00,14
2021-01-01 00:00:00,22
2021-02-01 00:00:00,11
2021-03-01 00:00:00,11
2021-05-01 00:00:00,100
2021-07-01 00:00:00,33
2021-09-01 00:00:00,27
2021-11-01 00:00:00,25
2022-01-01 00:00:00,36
2022-02-01 00:00:00,24
2022-03-01 00:00:00,22
2022-04-01 00:00:00,15
2022-07-01 00:00:00,32
2022-09-01 00:00:00,21
2022-11-01 00:00:00,24
2022-12-01 00:00:00,9
