,MVT_GT_Albuquerque-Santa Fe NM
2015-02-01 00:00:00,36
2015-03-01 00:00:00,44
2015-12-01 00:00:00,50
2016-01-01 00:00:00,17
2016-02-01 00:00:00,36
2016-06-01 00:00:00,25
2016-07-01 00:00:00,30
2016-08-01 00:00:00,19
2016-10-01 00:00:00,15
2016-12-01 00:00:00,29
2017-01-01 00:00:00,53
2017-02-01 00:00:00,39
2017-03-01 00:00:00,15
2017-04-01 00:00:00,26
2017-05-01 00:00:00,26
2017-06-01 00:00:00,32
2017-08-01 00:00:00,35
2017-10-01 00:00:00,42
2017-11-01 00:00:00,34
2018-01-01 00:00:00,64
2018-03-01 00:00:00,44
2018-04-01 00:00:00,35
2018-05-01 00:00:00,31
2018-06-01 00:00:00,31
2018-07-01 00:00:00,37
2018-08-01 00:00:00,48
2018-09-01 00:00:00,24
2018-10-01 00:00:00,45
2018-11-01 00:00:00,38
2019-02-01 00:00:00,38
2019-04-01 00:00:00,30
2019-07-01 00:00:00,18
2019-08-01 00:00:00,36
2019-10-01 00:00:00,19
2019-11-01 00:00:00,28
2019-12-01 00:00:00,15
2020-01-01 00:00:00,33
2020-05-01 00:00:00,9
2020-06-01 00:00:00,33
2020-07-01 00:00:00,15
2020-08-01 00:00:00,12
2020-09-01 00:00:00,14
2020-11-01 00:00:00,16
2020-12-01 00:00:00,24
2021-01-01 00:00:00,19
2021-03-01 00:00:00,21
2021-04-01 00:00:00,42
2021-05-01 00:00:00,29
2021-06-01 00:00:00,51
2021-07-01 00:00:00,37
2021-08-01 00:00:00,71
2021-09-01 00:00:00,25
2021-10-01 00:00:00,14
2021-11-01 00:00:00,11
2021-12-01 00:00:00,45
2022-01-01 00:00:00,27
2022-02-01 00:00:00,52
2022-03-01 00:00:00,21
2022-04-01 00:00:00,25
2022-05-01 00:00:00,57
2022-06-01 00:00:00,100
2022-07-01 00:00:00,30
2022-08-01 00:00:00,37
2022-09-01 00:00:00,19
2022-10-01 00:00:00,17
2022-11-01 00:00:00,22
2022-12-01 00:00:00,30
