,MVT_GT_New Orleans LA
01/01/2015 00:00:00,52
11/01/2015 00:00:00,93
12/01/2015 00:00:00,75
08/01/2016 00:00:00,76
12/01/2016 00:00:00,53
01/01/2017 00:00:00,42
02/01/2017 00:00:00,88
05/01/2017 00:00:00,61
06/01/2017 00:00:00,83
10/01/2017 00:00:00,51
11/01/2017 00:00:00,50
01/01/2018 00:00:00,48
05/01/2018 00:00:00,49
11/01/2018 00:00:00,50
12/01/2018 00:00:00,89
03/01/2019 00:00:00,41
05/01/2019 00:00:00,58
06/01/2019 00:00:00,60
07/01/2019 00:00:00,48
11/01/2019 00:00:00,41
12/01/2019 00:00:00,34
01/01/2020 00:00:00,100
02/01/2020 00:00:00,48
04/01/2020 00:00:00,69
05/01/2020 00:00:00,37
06/01/2020 00:00:00,32
08/01/2020 00:00:00,64
09/01/2020 00:00:00,44
10/01/2020 00:00:00,43
01/01/2021 00:00:00,44
04/01/2021 00:00:00,40
05/01/2021 00:00:00,44
09/01/2021 00:00:00,54
10/01/2021 00:00:00,45
11/01/2021 00:00:00,41
12/01/2021 00:00:00,47
03/01/2022 00:00:00,58
04/01/2022 00:00:00,76
05/01/2022 00:00:00,42
07/01/2022 00:00:00,72
08/01/2022 00:00:00,47
09/01/2022 00:00:00,47
11/01/2022 00:00:00,48
12/01/2022 00:00:00,70
