,MVT_GT_El Paso TX
2016-02-01 00:00:00,36
2016-04-01 00:00:00,23
2016-06-01 00:00:00,74
2016-09-01 00:00:00,54
2016-12-01 00:00:00,52
2017-01-01 00:00:00,66
2017-04-01 00:00:00,36
2017-09-01 00:00:00,28
2017-11-01 00:00:00,26
2018-01-01 00:00:00,24
2018-03-01 00:00:00,21
2018-05-01 00:00:00,35
2018-06-01 00:00:00,23
2018-12-01 00:00:00,34
2019-02-01 00:00:00,22
2019-03-01 00:00:00,39
2019-05-01 00:00:00,46
2019-07-01 00:00:00,29
2019-08-01 00:00:00,30
2019-09-01 00:00:00,23
2019-10-01 00:00:00,32
2019-12-01 00:00:00,24
2020-02-01 00:00:00,31
2020-09-01 00:00:00,63
2020-12-01 00:00:00,16
2021-01-01 00:00:00,22
2021-06-01 00:00:00,23
2021-08-01 00:00:00,30
2021-12-01 00:00:00,38
2022-01-01 00:00:00,18
2022-03-01 00:00:00,35
2022-04-01 00:00:00,81
2022-07-01 00:00:00,29
2022-08-01 00:00:00,100
2022-09-01 00:00:00,38
2022-10-01 00:00:00,44
2022-12-01 00:00:00,27
