,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,56
09/01/2015 00:00:00,61
10/01/2015 00:00:00,56
02/01/2016 00:00:00,36
03/01/2016 00:00:00,68
06/01/2016 00:00:00,66
10/01/2016 00:00:00,55
11/01/2016 00:00:00,42
01/01/2017 00:00:00,36
03/01/2017 00:00:00,38
06/01/2017 00:00:00,41
07/01/2017 00:00:00,59
12/01/2017 00:00:00,34
02/01/2018 00:00:00,41
03/01/2018 00:00:00,45
06/01/2018 00:00:00,73
07/01/2018 00:00:00,48
08/01/2018 00:00:00,38
09/01/2018 00:00:00,42
10/01/2018 00:00:00,39
02/01/2019 00:00:00,49
04/01/2019 00:00:00,32
05/01/2019 00:00:00,35
06/01/2019 00:00:00,45
08/01/2019 00:00:00,80
10/01/2019 00:00:00,39
11/01/2019 00:00:00,29
12/01/2019 00:00:00,35
01/01/2020 00:00:00,43
03/01/2020 00:00:00,29
05/01/2020 00:00:00,45
08/01/2020 00:00:00,46
09/01/2020 00:00:00,29
10/01/2020 00:00:00,32
01/01/2021 00:00:00,37
02/01/2021 00:00:00,46
03/01/2021 00:00:00,51
04/01/2021 00:00:00,36
05/01/2021 00:00:00,49
06/01/2021 00:00:00,67
07/01/2021 00:00:00,30
08/01/2021 00:00:00,36
09/01/2021 00:00:00,71
10/01/2021 00:00:00,86
11/01/2021 00:00:00,39
01/01/2022 00:00:00,37
03/01/2022 00:00:00,85
04/01/2022 00:00:00,54
05/01/2022 00:00:00,37
06/01/2022 00:00:00,39
07/01/2022 00:00:00,77
08/01/2022 00:00:00,96
09/01/2022 00:00:00,77
10/01/2022 00:00:00,78
11/01/2022 00:00:00,39
12/01/2022 00:00:00,100
