,MVT_GT_New Orleans LA
05/01/2015 00:00:00,51
08/01/2016 00:00:00,49
10/01/2016 00:00:00,33
01/01/2017 00:00:00,50
02/01/2017 00:00:00,31
04/01/2017 00:00:00,33
06/01/2017 00:00:00,35
02/01/2018 00:00:00,47
04/01/2018 00:00:00,26
08/01/2018 00:00:00,32
09/01/2018 00:00:00,53
10/01/2018 00:00:00,32
12/01/2018 00:00:00,53
01/01/2019 00:00:00,27
05/01/2019 00:00:00,34
06/01/2019 00:00:00,55
07/01/2019 00:00:00,47
08/01/2019 00:00:00,33
11/01/2019 00:00:00,27
01/01/2020 00:00:00,61
04/01/2020 00:00:00,44
05/01/2020 00:00:00,34
06/01/2020 00:00:00,24
07/01/2020 00:00:00,37
08/01/2020 00:00:00,100
09/01/2020 00:00:00,31
10/01/2020 00:00:00,34
01/01/2021 00:00:00,30
03/01/2021 00:00:00,33
02/01/2022 00:00:00,34
03/01/2022 00:00:00,37
04/01/2022 00:00:00,48
05/01/2022 00:00:00,24
07/01/2022 00:00:00,45
08/01/2022 00:00:00,27
10/01/2022 00:00:00,34
12/01/2022 00:00:00,41
