,MVT_GT_New Orleans LA
02/01/2015 00:00:00,74
12/01/2015 00:00:00,71
03/01/2016 00:00:00,51
10/01/2016 00:00:00,60
02/01/2017 00:00:00,47
03/01/2017 00:00:00,44
07/01/2017 00:00:00,62
08/01/2017 00:00:00,51
10/01/2017 00:00:00,58
02/01/2018 00:00:00,45
03/01/2018 00:00:00,51
09/01/2018 00:00:00,56
11/01/2018 00:00:00,49
12/01/2018 00:00:00,68
01/01/2019 00:00:00,42
06/01/2019 00:00:00,61
07/01/2019 00:00:00,64
11/01/2019 00:00:00,43
12/01/2019 00:00:00,44
01/01/2020 00:00:00,100
04/01/2020 00:00:00,62
06/01/2020 00:00:00,34
08/01/2020 00:00:00,32
10/01/2020 00:00:00,58
03/01/2021 00:00:00,34
05/01/2021 00:00:00,43
06/01/2021 00:00:00,38
12/01/2021 00:00:00,46
01/01/2022 00:00:00,88
02/01/2022 00:00:00,58
03/01/2022 00:00:00,53
04/01/2022 00:00:00,78
07/01/2022 00:00:00,68
08/01/2022 00:00:00,38
09/01/2022 00:00:00,39
12/01/2022 00:00:00,59
