,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,18
2015-02-01 00:00:00,38
2015-03-01 00:00:00,40
2015-07-01 00:00:00,100
2015-12-01 00:00:00,84
2016-05-01 00:00:00,60
2016-06-01 00:00:00,58
2016-08-01 00:00:00,80
2016-09-01 00:00:00,44
2016-10-01 00:00:00,46
2016-12-01 00:00:00,59
2017-01-01 00:00:00,97
2017-02-01 00:00:00,52
2017-05-01 00:00:00,84
2017-06-01 00:00:00,36
2017-07-01 00:00:00,44
2017-08-01 00:00:00,74
2017-10-01 00:00:00,64
2017-11-01 00:00:00,65
2018-01-01 00:00:00,56
2018-02-01 00:00:00,26
2018-03-01 00:00:00,67
2018-04-01 00:00:00,48
2018-05-01 00:00:00,57
2018-06-01 00:00:00,31
2018-07-01 00:00:00,28
2018-08-01 00:00:00,33
2018-09-01 00:00:00,24
2018-10-01 00:00:00,29
2018-11-01 00:00:00,43
2019-01-01 00:00:00,47
2019-02-01 00:00:00,45
2019-03-01 00:00:00,25
2019-04-01 00:00:00,54
2019-05-01 00:00:00,56
2019-06-01 00:00:00,33
2019-08-01 00:00:00,23
2019-09-01 00:00:00,18
2019-11-01 00:00:00,45
2019-12-01 00:00:00,48
2020-01-01 00:00:00,63
2020-02-01 00:00:00,23
2020-03-01 00:00:00,49
2020-04-01 00:00:00,24
2020-06-01 00:00:00,31
2020-07-01 00:00:00,33
2020-11-01 00:00:00,67
2020-12-01 00:00:00,40
2021-01-01 00:00:00,23
2021-02-01 00:00:00,49
2021-07-01 00:00:00,38
2021-08-01 00:00:00,58
2021-09-01 00:00:00,27
2021-10-01 00:00:00,23
2021-11-01 00:00:00,20
2021-12-01 00:00:00,24
2022-02-01 00:00:00,45
2022-05-01 00:00:00,48
2022-06-01 00:00:00,42
2022-08-01 00:00:00,43
2022-09-01 00:00:00,41
2022-10-01 00:00:00,58
2022-11-01 00:00:00,96
2022-12-01 00:00:00,27
