,MVT_GT_New Orleans LA
08/01/2015 00:00:00,100
09/01/2015 00:00:00,55
02/01/2016 00:00:00,43
08/01/2016 00:00:00,49
09/01/2016 00:00:00,33
01/01/2017 00:00:00,36
02/01/2017 00:00:00,59
07/01/2017 00:00:00,27
09/01/2017 00:00:00,31
11/01/2017 00:00:00,35
05/01/2018 00:00:00,28
08/01/2018 00:00:00,58
09/01/2018 00:00:00,31
11/01/2018 00:00:00,36
12/01/2018 00:00:00,39
01/01/2019 00:00:00,43
06/01/2019 00:00:00,42
07/01/2019 00:00:00,37
09/01/2019 00:00:00,28
11/01/2019 00:00:00,49
12/01/2019 00:00:00,31
01/01/2020 00:00:00,53
02/01/2020 00:00:00,23
04/01/2020 00:00:00,41
06/01/2020 00:00:00,21
09/01/2020 00:00:00,34
10/01/2020 00:00:00,43
11/01/2020 00:00:00,27
01/01/2021 00:00:00,24
04/01/2021 00:00:00,31
05/01/2021 00:00:00,25
06/01/2021 00:00:00,28
08/01/2021 00:00:00,26
12/01/2021 00:00:00,27
01/01/2022 00:00:00,30
03/01/2022 00:00:00,31
04/01/2022 00:00:00,61
06/01/2022 00:00:00,59
07/01/2022 00:00:00,53
08/01/2022 00:00:00,34
09/01/2022 00:00:00,27
10/01/2022 00:00:00,29
11/01/2022 00:00:00,33
12/01/2022 00:00:00,32
