,MVT_GT_Cincinnati OH
07/01/2015 00:00:00,92
03/01/2016 00:00:00,72
10/01/2016 00:00:00,55
02/01/2017 00:00:00,52
03/01/2017 00:00:00,59
05/01/2017 00:00:00,47
06/01/2017 00:00:00,53
07/01/2017 00:00:00,58
09/01/2017 00:00:00,77
10/01/2017 00:00:00,48
11/01/2017 00:00:00,63
12/01/2017 00:00:00,55
01/01/2018 00:00:00,48
02/01/2018 00:00:00,69
11/01/2018 00:00:00,51
12/01/2018 00:00:00,72
03/01/2019 00:00:00,59
05/01/2019 00:00:00,54
06/01/2019 00:00:00,70
07/01/2019 00:00:00,58
01/01/2020 00:00:00,100
02/01/2020 00:00:00,41
03/01/2020 00:00:00,73
04/01/2020 00:00:00,81
05/01/2020 00:00:00,48
06/01/2020 00:00:00,41
07/01/2020 00:00:00,36
08/01/2020 00:00:00,34
09/01/2020 00:00:00,48
10/01/2020 00:00:00,51
12/01/2020 00:00:00,47
03/01/2021 00:00:00,67
04/01/2021 00:00:00,43
12/01/2021 00:00:00,40
02/01/2022 00:00:00,47
03/01/2022 00:00:00,62
04/01/2022 00:00:00,72
05/01/2022 00:00:00,36
07/01/2022 00:00:00,70
09/01/2022 00:00:00,64
10/01/2022 00:00:00,48
11/01/2022 00:00:00,51
12/01/2022 00:00:00,62
