,MVT_GT_El Paso TX
2015-01-01 00:00:00,85
2015-07-01 00:00:00,18
2015-08-01 00:00:00,35
2015-09-01 00:00:00,25
2015-12-01 00:00:00,100
2016-03-01 00:00:00,40
2016-04-01 00:00:00,61
2017-06-01 00:00:00,23
2017-07-01 00:00:00,24
2017-10-01 00:00:00,16
2017-11-01 00:00:00,30
2018-01-01 00:00:00,16
2018-03-01 00:00:00,35
2018-05-01 00:00:00,33
2018-08-01 00:00:00,61
2018-09-01 00:00:00,21
2018-10-01 00:00:00,46
2018-12-01 00:00:00,16
2019-07-01 00:00:00,21
2019-09-01 00:00:00,18
2019-11-01 00:00:00,18
2020-01-01 00:00:00,19
2020-03-01 00:00:00,12
2020-04-01 00:00:00,10
2020-05-01 00:00:00,37
2020-06-01 00:00:00,24
2020-07-01 00:00:00,14
2020-10-01 00:00:00,14
2020-12-01 00:00:00,19
2021-01-01 00:00:00,11
2021-02-01 00:00:00,19
2021-05-01 00:00:00,13
2021-07-01 00:00:00,55
2021-12-01 00:00:00,19
2022-04-01 00:00:00,26
2022-07-01 00:00:00,60
2022-08-01 00:00:00,37
2022-09-01 00:00:00,28
2022-10-01 00:00:00,12
2022-12-01 00:00:00,27
