,MVT_GT_New Orleans LA
2016-06-01 00:00:00,51
2016-08-01 00:00:00,79
2016-10-01 00:00:00,51
2016-11-01 00:00:00,50
2017-02-01 00:00:00,62
2017-09-01 00:00:00,61
2017-10-01 00:00:00,53
2018-02-01 00:00:00,61
2018-03-01 00:00:00,42
2018-04-01 00:00:00,85
2018-05-01 00:00:00,41
2018-09-01 00:00:00,44
2018-12-01 00:00:00,89
2019-05-01 00:00:00,51
2019-06-01 00:00:00,76
2019-07-01 00:00:00,76
2019-08-01 00:00:00,51
2019-10-01 00:00:00,66
2019-11-01 00:00:00,61
2020-01-01 00:00:00,100
2020-02-01 00:00:00,49
2020-03-01 00:00:00,44
2020-04-01 00:00:00,70
2020-05-01 00:00:00,55
2020-08-01 00:00:00,51
2020-09-01 00:00:00,62
2020-10-01 00:00:00,53
2020-12-01 00:00:00,48
2021-03-01 00:00:00,53
2021-04-01 00:00:00,75
2021-09-01 00:00:00,66
2021-11-01 00:00:00,47
2021-12-01 00:00:00,45
2022-02-01 00:00:00,73
2022-03-01 00:00:00,41
2022-04-01 00:00:00,73
2022-05-01 00:00:00,42
2022-06-01 00:00:00,57
2022-07-01 00:00:00,60
2022-08-01 00:00:00,48
2022-09-01 00:00:00,53
2022-10-01 00:00:00,51
2022-11-01 00:00:00,61
2022-12-01 00:00:00,63
