,MVT_GT_Cincinnati OH
02/01/2016 00:00:00,65
03/01/2016 00:00:00,61
06/01/2016 00:00:00,66
07/01/2016 00:00:00,46
10/01/2016 00:00:00,55
11/01/2016 00:00:00,57
01/01/2017 00:00:00,45
02/01/2017 00:00:00,53
03/01/2017 00:00:00,40
06/01/2017 00:00:00,64
07/01/2017 00:00:00,48
08/01/2017 00:00:00,53
12/01/2017 00:00:00,62
02/01/2018 00:00:00,41
03/01/2018 00:00:00,76
08/01/2018 00:00:00,69
09/01/2018 00:00:00,34
12/01/2018 00:00:00,48
01/01/2019 00:00:00,36
02/01/2019 00:00:00,34
04/01/2019 00:00:00,38
07/01/2019 00:00:00,53
08/01/2019 00:00:00,68
09/01/2019 00:00:00,46
10/01/2019 00:00:00,52
11/01/2019 00:00:00,43
01/01/2020 00:00:00,48
02/01/2020 00:00:00,52
03/01/2020 00:00:00,37
04/01/2020 00:00:00,44
05/01/2020 00:00:00,27
07/01/2020 00:00:00,30
08/01/2020 00:00:00,60
09/01/2020 00:00:00,42
10/01/2020 00:00:00,32
12/01/2020 00:00:00,38
01/01/2021 00:00:00,39
03/01/2021 00:00:00,53
06/01/2021 00:00:00,68
07/01/2021 00:00:00,37
08/01/2021 00:00:00,37
09/01/2021 00:00:00,68
10/01/2021 00:00:00,58
12/01/2021 00:00:00,44
01/01/2022 00:00:00,78
03/01/2022 00:00:00,54
04/01/2022 00:00:00,58
07/01/2022 00:00:00,71
08/01/2022 00:00:00,76
09/01/2022 00:00:00,81
10/01/2022 00:00:00,82
11/01/2022 00:00:00,56
12/01/2022 00:00:00,100
