,MVT_GT_Bakersfield CA
2015-01-01 00:00:00,49
2015-09-01 00:00:00,26
2016-01-01 00:00:00,100
2016-03-01 00:00:00,17
2016-04-01 00:00:00,18
2016-06-01 00:00:00,23
2016-08-01 00:00:00,36
2016-10-01 00:00:00,39
2016-12-01 00:00:00,35
2017-02-01 00:00:00,98
2017-08-01 00:00:00,32
2017-09-01 00:00:00,31
2017-10-01 00:00:00,18
2017-12-01 00:00:00,31
2018-03-01 00:00:00,23
2018-05-01 00:00:00,21
2018-11-01 00:00:00,24
2019-02-01 00:00:00,17
2019-07-01 00:00:00,28
2019-08-01 00:00:00,20
2019-10-01 00:00:00,36
2019-11-01 00:00:00,20
2020-02-01 00:00:00,23
2020-05-01 00:00:00,30
2020-07-01 00:00:00,25
2020-09-01 00:00:00,39
2020-11-01 00:00:00,18
2021-02-01 00:00:00,22
2021-03-01 00:00:00,31
2021-04-01 00:00:00,12
2021-05-01 00:00:00,23
2021-08-01 00:00:00,21
2021-12-01 00:00:00,45
2022-01-01 00:00:00,23
2022-02-01 00:00:00,30
2022-03-01 00:00:00,13
2022-04-01 00:00:00,31
2022-05-01 00:00:00,13
2022-06-01 00:00:00,20
2022-08-01 00:00:00,27
2022-09-01 00:00:00,11
2022-10-01 00:00:00,12
2022-12-01 00:00:00,30
