,MVT_GT_New Orleans LA
01/01/2015 00:00:00,53
03/01/2016 00:00:00,69
08/01/2016 00:00:00,74
10/01/2016 00:00:00,47
01/01/2017 00:00:00,46
02/01/2017 00:00:00,49
07/01/2017 00:00:00,53
09/01/2017 00:00:00,46
10/01/2017 00:00:00,100
11/01/2017 00:00:00,49
12/01/2017 00:00:00,44
02/01/2018 00:00:00,50
08/01/2018 00:00:00,62
09/01/2018 00:00:00,39
11/01/2018 00:00:00,73
01/01/2019 00:00:00,82
05/01/2019 00:00:00,62
06/01/2019 00:00:00,66
07/01/2019 00:00:00,83
11/01/2019 00:00:00,41
12/01/2019 00:00:00,93
01/01/2020 00:00:00,96
04/01/2020 00:00:00,58
05/01/2020 00:00:00,31
06/01/2020 00:00:00,40
07/01/2020 00:00:00,40
08/01/2020 00:00:00,48
10/01/2020 00:00:00,48
11/01/2020 00:00:00,40
03/01/2021 00:00:00,48
05/01/2021 00:00:00,88
06/01/2021 00:00:00,62
07/01/2021 00:00:00,42
11/01/2021 00:00:00,47
01/01/2022 00:00:00,57
02/01/2022 00:00:00,71
03/01/2022 00:00:00,34
04/01/2022 00:00:00,73
05/01/2022 00:00:00,44
07/01/2022 00:00:00,57
08/01/2022 00:00:00,52
09/01/2022 00:00:00,39
10/01/2022 00:00:00,90
11/01/2022 00:00:00,62
12/01/2022 00:00:00,69
