,MVT_GT_Jacksonville FL
2015-01-01 00:00:00,79
2015-02-01 00:00:00,42
2015-03-01 00:00:00,59
2015-04-01 00:00:00,87
2015-09-01 00:00:00,92
2015-12-01 00:00:00,100
2016-02-01 00:00:00,32
2016-03-01 00:00:00,96
2016-04-01 00:00:00,45
2016-06-01 00:00:00,39
2016-08-01 00:00:00,24
2016-11-01 00:00:00,46
2016-12-01 00:00:00,41
2017-02-01 00:00:00,31
2017-03-01 00:00:00,20
2017-04-01 00:00:00,21
2017-06-01 00:00:00,36
2017-07-01 00:00:00,33
2017-08-01 00:00:00,13
2017-10-01 00:00:00,17
2017-11-01 00:00:00,28
2017-12-01 00:00:00,14
2018-01-01 00:00:00,20
2018-02-01 00:00:00,34
2018-04-01 00:00:00,37
2018-05-01 00:00:00,38
2018-06-01 00:00:00,42
2018-07-01 00:00:00,17
2018-08-01 00:00:00,23
2018-09-01 00:00:00,21
2018-10-01 00:00:00,24
2018-11-01 00:00:00,14
2018-12-01 00:00:00,13
2019-02-01 00:00:00,23
2019-03-01 00:00:00,45
2019-04-01 00:00:00,21
2019-05-01 00:00:00,19
2019-06-01 00:00:00,77
2019-07-01 00:00:00,19
2019-08-01 00:00:00,26
2019-09-01 00:00:00,22
2019-10-01 00:00:00,29
2019-11-01 00:00:00,41
2019-12-01 00:00:00,29
2020-01-01 00:00:00,49
2020-03-01 00:00:00,17
2020-04-01 00:00:00,10
2020-05-01 00:00:00,15
2020-06-01 00:00:00,27
2020-07-01 00:00:00,30
2020-08-01 00:00:00,16
2020-10-01 00:00:00,21
2020-11-01 00:00:00,18
2021-01-01 00:00:00,24
2021-02-01 00:00:00,30
2021-04-01 00:00:00,15
2021-05-01 00:00:00,31
2021-06-01 00:00:00,15
2021-07-01 00:00:00,15
2021-09-01 00:00:00,22
2021-11-01 00:00:00,16
2021-12-01 00:00:00,17
2022-03-01 00:00:00,16
2022-05-01 00:00:00,22
2022-07-01 00:00:00,24
2022-08-01 00:00:00,14
2022-09-01 00:00:00,61
2022-10-01 00:00:00,35
2022-11-01 00:00:00,54
2022-12-01 00:00:00,42
