,MVT_GT_Fresno-Visalia CA
2015-01-01 00:00:00,12
2015-02-01 00:00:00,28
2015-03-01 00:00:00,16
2015-04-01 00:00:00,16
2015-08-01 00:00:00,100
2015-09-01 00:00:00,23
2015-12-01 00:00:00,34
2016-02-01 00:00:00,25
2016-04-01 00:00:00,37
2016-05-01 00:00:00,34
2016-06-01 00:00:00,27
2016-07-01 00:00:00,31
2016-09-01 00:00:00,14
2016-10-01 00:00:00,76
2016-11-01 00:00:00,16
2017-03-01 00:00:00,24
2017-05-01 00:00:00,23
2017-06-01 00:00:00,22
2017-07-01 00:00:00,51
2017-10-01 00:00:00,27
2017-12-01 00:00:00,27
2018-01-01 00:00:00,29
2018-02-01 00:00:00,30
2018-05-01 00:00:00,68
2018-06-01 00:00:00,37
2018-07-01 00:00:00,31
2018-08-01 00:00:00,10
2018-09-01 00:00:00,35
2018-10-01 00:00:00,38
2018-11-01 00:00:00,20
2018-12-01 00:00:00,45
2019-01-01 00:00:00,15
2019-02-01 00:00:00,19
2019-03-01 00:00:00,21
2019-04-01 00:00:00,25
2019-05-01 00:00:00,15
2019-06-01 00:00:00,16
2019-07-01 00:00:00,30
2019-08-01 00:00:00,16
2019-09-01 00:00:00,28
2019-10-01 00:00:00,24
2019-11-01 00:00:00,30
2019-12-01 00:00:00,34
2020-01-01 00:00:00,25
2020-02-01 00:00:00,34
2020-03-01 00:00:00,10
2020-05-01 00:00:00,16
2020-06-01 00:00:00,13
2020-07-01 00:00:00,35
2020-08-01 00:00:00,20
2020-09-01 00:00:00,36
2020-11-01 00:00:00,31
2021-01-01 00:00:00,20
2021-02-01 00:00:00,25
2021-03-01 00:00:00,20
2021-04-01 00:00:00,32
2021-05-01 00:00:00,12
2021-06-01 00:00:00,29
2021-07-01 00:00:00,19
2021-08-01 00:00:00,21
2021-09-01 00:00:00,12
2021-12-01 00:00:00,25
2022-02-01 00:00:00,22
2022-03-01 00:00:00,23
2022-04-01 00:00:00,29
2022-05-01 00:00:00,27
2022-06-01 00:00:00,26
2022-07-01 00:00:00,15
2022-08-01 00:00:00,23
2022-09-01 00:00:00,9
2022-10-01 00:00:00,21
2022-11-01 00:00:00,20
2022-12-01 00:00:00,14
