,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,55
05/01/2015 00:00:00,53
08/01/2015 00:00:00,48
09/01/2015 00:00:00,48
02/01/2016 00:00:00,41
03/01/2016 00:00:00,60
05/01/2016 00:00:00,51
08/01/2016 00:00:00,42
10/01/2016 00:00:00,51
11/01/2016 00:00:00,50
01/01/2017 00:00:00,35
02/01/2017 00:00:00,54
03/01/2017 00:00:00,44
06/01/2017 00:00:00,60
07/01/2017 00:00:00,56
08/01/2017 00:00:00,38
09/01/2017 00:00:00,33
11/01/2017 00:00:00,34
12/01/2017 00:00:00,62
01/01/2018 00:00:00,33
02/01/2018 00:00:00,37
03/01/2018 00:00:00,57
04/01/2018 00:00:00,29
08/01/2018 00:00:00,58
09/01/2018 00:00:00,34
10/01/2018 00:00:00,33
12/01/2018 00:00:00,39
02/01/2019 00:00:00,53
04/01/2019 00:00:00,40
05/01/2019 00:00:00,38
08/01/2019 00:00:00,61
09/01/2019 00:00:00,41
10/01/2019 00:00:00,36
11/01/2019 00:00:00,39
12/01/2019 00:00:00,32
01/01/2020 00:00:00,48
03/01/2020 00:00:00,43
04/01/2020 00:00:00,22
05/01/2020 00:00:00,40
06/01/2020 00:00:00,26
08/01/2020 00:00:00,55
09/01/2020 00:00:00,39
01/01/2021 00:00:00,36
02/01/2021 00:00:00,46
03/01/2021 00:00:00,55
05/01/2021 00:00:00,31
06/01/2021 00:00:00,83
08/01/2021 00:00:00,41
09/01/2021 00:00:00,37
10/01/2021 00:00:00,93
11/01/2021 00:00:00,51
12/01/2021 00:00:00,64
01/01/2022 00:00:00,50
02/01/2022 00:00:00,65
03/01/2022 00:00:00,59
04/01/2022 00:00:00,46
05/01/2022 00:00:00,49
07/01/2022 00:00:00,81
08/01/2022 00:00:00,69
09/01/2022 00:00:00,98
10/01/2022 00:00:00,89
11/01/2022 00:00:00,42
12/01/2022 00:00:00,100
