,MVT_GT_Los Angeles CA
2015-01-01 00:00:00,40
2015-03-01 00:00:00,37
2015-05-01 00:00:00,39
2015-07-01 00:00:00,48
2015-08-01 00:00:00,38
2015-09-01 00:00:00,41
2015-10-01 00:00:00,35
2015-11-01 00:00:00,38
2016-03-01 00:00:00,100
2016-04-01 00:00:00,47
2016-05-01 00:00:00,47
2016-08-01 00:00:00,43
2016-09-01 00:00:00,50
2016-10-01 00:00:00,41
2017-01-01 00:00:00,51
2017-02-01 00:00:00,45
2017-06-01 00:00:00,52
2017-08-01 00:00:00,55
2017-12-01 00:00:00,41
2018-04-01 00:00:00,45
2018-06-01 00:00:00,48
2019-01-01 00:00:00,42
2019-02-01 00:00:00,46
2019-04-01 00:00:00,37
2019-07-01 00:00:00,40
2019-09-01 00:00:00,44
2019-10-01 00:00:00,47
2020-02-01 00:00:00,51
2020-06-01 00:00:00,45
2020-11-01 00:00:00,40
2021-01-01 00:00:00,53
2021-04-01 00:00:00,49
2021-09-01 00:00:00,51
2021-11-01 00:00:00,47
2022-01-01 00:00:00,64
2022-07-01 00:00:00,60
2022-12-01 00:00:00,52
