,MVT_GT_San Antonio TX
2015-02-01 00:00:00,76
2015-03-01 00:00:00,30
2015-05-01 00:00:00,50
2015-07-01 00:00:00,75
2015-08-01 00:00:00,28
2015-09-01 00:00:00,50
2015-10-01 00:00:00,66
2016-01-01 00:00:00,99
2016-05-01 00:00:00,33
2016-06-01 00:00:00,19
2016-07-01 00:00:00,40
2016-08-01 00:00:00,22
2016-09-01 00:00:00,39
2016-10-01 00:00:00,50
2016-11-01 00:00:00,36
2016-12-01 00:00:00,49
2017-01-01 00:00:00,17
2017-04-01 00:00:00,30
2017-05-01 00:00:00,100
2017-06-01 00:00:00,57
2017-07-01 00:00:00,31
2017-09-01 00:00:00,27
2017-10-01 00:00:00,45
2017-11-01 00:00:00,69
2018-01-01 00:00:00,29
2018-03-01 00:00:00,28
2018-04-01 00:00:00,27
2018-05-01 00:00:00,40
2018-07-01 00:00:00,57
2018-08-01 00:00:00,49
2018-09-01 00:00:00,87
2018-10-01 00:00:00,45
2018-11-01 00:00:00,21
2019-01-01 00:00:00,35
2019-02-01 00:00:00,48
2019-03-01 00:00:00,24
2019-04-01 00:00:00,36
2019-05-01 00:00:00,51
2019-06-01 00:00:00,16
2019-07-01 00:00:00,92
2019-08-01 00:00:00,26
2019-09-01 00:00:00,38
2019-11-01 00:00:00,70
2019-12-01 00:00:00,13
2020-01-01 00:00:00,21
2020-02-01 00:00:00,71
2020-03-01 00:00:00,47
2020-04-01 00:00:00,47
2020-05-01 00:00:00,38
2020-06-01 00:00:00,52
2020-07-01 00:00:00,71
2020-09-01 00:00:00,75
2020-10-01 00:00:00,38
2020-11-01 00:00:00,77
2020-12-01 00:00:00,14
2021-02-01 00:00:00,50
2021-03-01 00:00:00,51
2021-04-01 00:00:00,39
2021-05-01 00:00:00,26
2021-06-01 00:00:00,37
2021-07-01 00:00:00,40
2021-08-01 00:00:00,71
2021-10-01 00:00:00,64
2021-11-01 00:00:00,51
2021-12-01 00:00:00,51
2022-01-01 00:00:00,40
2022-02-01 00:00:00,50
2022-03-01 00:00:00,55
2022-04-01 00:00:00,27
2022-05-01 00:00:00,76
2022-07-01 00:00:00,59
2022-08-01 00:00:00,88
2022-09-01 00:00:00,54
2022-10-01 00:00:00,81
2022-11-01 00:00:00,26
2022-12-01 00:00:00,90
