,MVT_GT_Fresno-Visalia CA
2015-02-01 00:00:00,42
2015-03-01 00:00:00,30
2015-04-01 00:00:00,25
2015-05-01 00:00:00,20
2015-06-01 00:00:00,29
2015-07-01 00:00:00,100
2015-08-01 00:00:00,51
2015-09-01 00:00:00,42
2015-12-01 00:00:00,52
2016-02-01 00:00:00,17
2016-04-01 00:00:00,28
2016-05-01 00:00:00,35
2016-06-01 00:00:00,55
2016-07-01 00:00:00,95
2016-08-01 00:00:00,67
2016-09-01 00:00:00,18
2016-10-01 00:00:00,46
2016-11-01 00:00:00,26
2016-12-01 00:00:00,31
2017-02-01 00:00:00,22
2017-03-01 00:00:00,32
2017-04-01 00:00:00,15
2017-05-01 00:00:00,39
2017-07-01 00:00:00,84
2017-08-01 00:00:00,26
2017-09-01 00:00:00,38
2017-10-01 00:00:00,28
2017-11-01 00:00:00,33
2017-12-01 00:00:00,58
2018-01-01 00:00:00,57
2018-02-01 00:00:00,35
2018-04-01 00:00:00,18
2018-05-01 00:00:00,28
2018-06-01 00:00:00,40
2018-07-01 00:00:00,34
2018-08-01 00:00:00,22
2018-09-01 00:00:00,54
2018-10-01 00:00:00,53
2018-11-01 00:00:00,52
2018-12-01 00:00:00,40
2019-01-01 00:00:00,28
2019-02-01 00:00:00,36
2019-03-01 00:00:00,31
2019-05-01 00:00:00,28
2019-06-01 00:00:00,32
2019-07-01 00:00:00,15
2019-08-01 00:00:00,45
2019-09-01 00:00:00,26
2019-10-01 00:00:00,51
2020-01-01 00:00:00,44
2020-02-01 00:00:00,52
2020-04-01 00:00:00,46
2020-06-01 00:00:00,37
2020-07-01 00:00:00,18
2020-08-01 00:00:00,26
2020-09-01 00:00:00,48
2020-10-01 00:00:00,20
2020-11-01 00:00:00,32
2020-12-01 00:00:00,51
2021-01-01 00:00:00,50
2021-02-01 00:00:00,34
2021-03-01 00:00:00,24
2021-05-01 00:00:00,12
2021-07-01 00:00:00,49
2021-08-01 00:00:00,33
2021-09-01 00:00:00,67
2021-10-01 00:00:00,60
2021-12-01 00:00:00,57
2022-01-01 00:00:00,44
2022-02-01 00:00:00,46
2022-04-01 00:00:00,41
2022-05-01 00:00:00,44
2022-06-01 00:00:00,45
2022-08-01 00:00:00,19
2022-09-01 00:00:00,26
2022-10-01 00:00:00,26
2022-11-01 00:00:00,43
2022-12-01 00:00:00,36
