,MVT_GT_New Orleans LA
01/01/2015 00:00:00,62
06/01/2015 00:00:00,66
08/01/2015 00:00:00,93
04/01/2016 00:00:00,65
07/01/2016 00:00:00,49
08/01/2016 00:00:00,87
10/01/2016 00:00:00,86
02/01/2017 00:00:00,56
03/01/2017 00:00:00,41
05/01/2017 00:00:00,55
06/01/2017 00:00:00,56
07/01/2017 00:00:00,54
10/01/2017 00:00:00,58
12/01/2017 00:00:00,66
02/01/2018 00:00:00,53
04/01/2018 00:00:00,42
06/01/2018 00:00:00,51
07/01/2018 00:00:00,71
08/01/2018 00:00:00,47
09/01/2018 00:00:00,40
11/01/2018 00:00:00,59
12/01/2018 00:00:00,77
01/01/2019 00:00:00,45
05/01/2019 00:00:00,52
06/01/2019 00:00:00,54
07/01/2019 00:00:00,46
11/01/2019 00:00:00,41
01/01/2020 00:00:00,100
03/01/2020 00:00:00,34
04/01/2020 00:00:00,31
06/01/2020 00:00:00,39
07/01/2020 00:00:00,37
08/01/2020 00:00:00,37
09/01/2020 00:00:00,40
10/01/2020 00:00:00,51
11/01/2020 00:00:00,51
04/01/2021 00:00:00,50
05/01/2021 00:00:00,59
12/01/2021 00:00:00,42
01/01/2022 00:00:00,66
02/01/2022 00:00:00,83
03/01/2022 00:00:00,65
04/01/2022 00:00:00,76
05/01/2022 00:00:00,46
07/01/2022 00:00:00,67
08/01/2022 00:00:00,58
09/01/2022 00:00:00,48
11/01/2022 00:00:00,46
