,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,40
01/01/2016 00:00:00,29
03/01/2016 00:00:00,76
05/01/2016 00:00:00,35
06/01/2016 00:00:00,51
07/01/2016 00:00:00,58
10/01/2016 00:00:00,64
11/01/2016 00:00:00,46
12/01/2016 00:00:00,28
02/01/2017 00:00:00,30
03/01/2017 00:00:00,46
06/01/2017 00:00:00,41
07/01/2017 00:00:00,55
11/01/2017 00:00:00,28
12/01/2017 00:00:00,49
02/01/2018 00:00:00,28
03/01/2018 00:00:00,48
05/01/2018 00:00:00,41
06/01/2018 00:00:00,36
07/01/2018 00:00:00,39
08/01/2018 00:00:00,49
09/01/2018 00:00:00,31
10/01/2018 00:00:00,26
12/01/2018 00:00:00,25
01/01/2019 00:00:00,23
02/01/2019 00:00:00,50
04/01/2019 00:00:00,32
06/01/2019 00:00:00,31
07/01/2019 00:00:00,31
08/01/2019 00:00:00,56
09/01/2019 00:00:00,32
10/01/2019 00:00:00,39
11/01/2019 00:00:00,22
01/01/2020 00:00:00,48
02/01/2020 00:00:00,26
03/01/2020 00:00:00,34
06/01/2020 00:00:00,22
07/01/2020 00:00:00,35
08/01/2020 00:00:00,54
09/01/2020 00:00:00,24
10/01/2020 00:00:00,25
12/01/2020 00:00:00,37
01/01/2021 00:00:00,32
02/01/2021 00:00:00,31
03/01/2021 00:00:00,43
05/01/2021 00:00:00,28
06/01/2021 00:00:00,48
07/01/2021 00:00:00,24
09/01/2021 00:00:00,38
10/01/2021 00:00:00,60
11/01/2021 00:00:00,30
12/01/2021 00:00:00,29
01/01/2022 00:00:00,44
02/01/2022 00:00:00,26
03/01/2022 00:00:00,55
04/01/2022 00:00:00,21
07/01/2022 00:00:00,100
08/01/2022 00:00:00,66
09/01/2022 00:00:00,65
10/01/2022 00:00:00,67
11/01/2022 00:00:00,26
12/01/2022 00:00:00,89
