,MVT_GT_New Orleans LA
01/01/2015 00:00:00,58
08/01/2015 00:00:00,77
09/01/2015 00:00:00,100
04/01/2016 00:00:00,59
06/01/2016 00:00:00,45
08/01/2016 00:00:00,78
09/01/2016 00:00:00,46
10/01/2016 00:00:00,49
02/01/2017 00:00:00,43
05/01/2017 00:00:00,45
07/01/2017 00:00:00,83
10/01/2017 00:00:00,40
02/01/2018 00:00:00,63
03/01/2018 00:00:00,51
12/01/2018 00:00:00,64
01/01/2019 00:00:00,35
05/01/2019 00:00:00,57
06/01/2019 00:00:00,49
07/01/2019 00:00:00,55
11/01/2019 00:00:00,65
01/01/2020 00:00:00,49
02/01/2020 00:00:00,34
03/01/2020 00:00:00,30
04/01/2020 00:00:00,54
06/01/2020 00:00:00,34
07/01/2020 00:00:00,31
08/01/2020 00:00:00,50
09/01/2020 00:00:00,49
10/01/2020 00:00:00,39
01/01/2021 00:00:00,44
03/01/2021 00:00:00,38
04/01/2021 00:00:00,45
05/01/2021 00:00:00,40
12/01/2021 00:00:00,54
01/01/2022 00:00:00,41
02/01/2022 00:00:00,56
03/01/2022 00:00:00,55
04/01/2022 00:00:00,74
05/01/2022 00:00:00,60
06/01/2022 00:00:00,33
07/01/2022 00:00:00,65
09/01/2022 00:00:00,39
10/01/2022 00:00:00,55
11/01/2022 00:00:00,37
12/01/2022 00:00:00,43
