,MVT_GT_Cincinnati OH
01/01/2016 00:00:00,45
03/01/2016 00:00:00,68
05/01/2016 00:00:00,42
06/01/2016 00:00:00,53
08/01/2016 00:00:00,66
10/01/2016 00:00:00,50
01/01/2017 00:00:00,37
03/01/2017 00:00:00,36
05/01/2017 00:00:00,47
06/01/2017 00:00:00,49
07/01/2017 00:00:00,86
11/01/2017 00:00:00,32
12/01/2017 00:00:00,79
03/01/2018 00:00:00,52
08/01/2018 00:00:00,65
09/01/2018 00:00:00,47
10/01/2018 00:00:00,40
12/01/2018 00:00:00,34
01/01/2019 00:00:00,39
02/01/2019 00:00:00,59
04/01/2019 00:00:00,37
05/01/2019 00:00:00,48
07/01/2019 00:00:00,33
08/01/2019 00:00:00,67
09/01/2019 00:00:00,47
10/01/2019 00:00:00,47
11/01/2019 00:00:00,60
12/01/2019 00:00:00,38
01/01/2020 00:00:00,54
03/01/2020 00:00:00,53
05/01/2020 00:00:00,27
08/01/2020 00:00:00,63
10/01/2020 00:00:00,29
12/01/2020 00:00:00,32
01/01/2021 00:00:00,29
02/01/2021 00:00:00,34
03/01/2021 00:00:00,49
05/01/2021 00:00:00,42
06/01/2021 00:00:00,46
10/01/2021 00:00:00,89
11/01/2021 00:00:00,39
12/01/2021 00:00:00,59
01/01/2022 00:00:00,65
03/01/2022 00:00:00,70
04/01/2022 00:00:00,39
05/01/2022 00:00:00,35
06/01/2022 00:00:00,49
07/01/2022 00:00:00,96
08/01/2022 00:00:00,88
09/01/2022 00:00:00,91
10/01/2022 00:00:00,87
12/01/2022 00:00:00,100
