,MVT_GT_El Paso TX
2015-02-01 00:00:00,44
2015-03-01 00:00:00,72
2015-04-01 00:00:00,63
2016-02-01 00:00:00,44
2016-05-01 00:00:00,23
2016-06-01 00:00:00,100
2016-09-01 00:00:00,75
2017-01-01 00:00:00,23
2017-04-01 00:00:00,33
2017-06-01 00:00:00,41
2017-07-01 00:00:00,20
2017-09-01 00:00:00,25
2018-01-01 00:00:00,41
2018-04-01 00:00:00,59
2018-05-01 00:00:00,59
2018-07-01 00:00:00,23
2018-10-01 00:00:00,23
2018-11-01 00:00:00,17
2019-03-01 00:00:00,32
2019-04-01 00:00:00,59
2019-07-01 00:00:00,32
2019-08-01 00:00:00,22
2019-09-01 00:00:00,34
2020-02-01 00:00:00,14
2020-03-01 00:00:00,14
2020-05-01 00:00:00,30
2020-06-01 00:00:00,26
2020-08-01 00:00:00,14
2020-12-01 00:00:00,39
2021-05-01 00:00:00,21
2021-06-01 00:00:00,26
2021-07-01 00:00:00,31
2021-08-01 00:00:00,20
2021-09-01 00:00:00,16
2021-12-01 00:00:00,21
2022-01-01 00:00:00,49
2022-02-01 00:00:00,32
2022-03-01 00:00:00,19
2022-04-01 00:00:00,22
2022-05-01 00:00:00,44
2022-07-01 00:00:00,15
2022-08-01 00:00:00,17
2022-09-01 00:00:00,32
2022-10-01 00:00:00,82
2022-12-01 00:00:00,39
