,MVT_GT_New Orleans LA
02/01/2016 00:00:00,74
03/01/2016 00:00:00,63
08/01/2016 00:00:00,62
01/01/2017 00:00:00,57
03/01/2017 00:00:00,46
10/01/2017 00:00:00,81
11/01/2017 00:00:00,68
08/01/2018 00:00:00,52
11/01/2018 00:00:00,65
12/01/2018 00:00:00,77
01/01/2019 00:00:00,43
05/01/2019 00:00:00,45
06/01/2019 00:00:00,74
07/01/2019 00:00:00,71
11/01/2019 00:00:00,47
12/01/2019 00:00:00,38
01/01/2020 00:00:00,94
02/01/2020 00:00:00,83
03/01/2020 00:00:00,50
04/01/2020 00:00:00,68
05/01/2020 00:00:00,44
06/01/2020 00:00:00,56
07/01/2020 00:00:00,36
08/01/2020 00:00:00,39
09/01/2020 00:00:00,43
10/01/2020 00:00:00,52
11/01/2020 00:00:00,49
12/01/2020 00:00:00,58
01/01/2021 00:00:00,47
03/01/2021 00:00:00,41
06/01/2021 00:00:00,44
11/01/2021 00:00:00,69
12/01/2021 00:00:00,45
01/01/2022 00:00:00,61
02/01/2022 00:00:00,64
03/01/2022 00:00:00,82
04/01/2022 00:00:00,100
05/01/2022 00:00:00,45
07/01/2022 00:00:00,63
08/01/2022 00:00:00,55
10/01/2022 00:00:00,41
11/01/2022 00:00:00,50
