,MVT_GT_Omaha NE
2015-03-01 00:00:00,23
2015-04-01 00:00:00,41
2015-08-01 00:00:00,19
2015-10-01 00:00:00,26
2015-11-01 00:00:00,32
2015-12-01 00:00:00,22
2016-01-01 00:00:00,30
2016-02-01 00:00:00,28
2016-03-01 00:00:00,41
2016-05-01 00:00:00,16
2016-06-01 00:00:00,21
2016-07-01 00:00:00,20
2016-08-01 00:00:00,18
2016-09-01 00:00:00,29
2016-10-01 00:00:00,43
2016-11-01 00:00:00,33
2016-12-01 00:00:00,41
2017-02-01 00:00:00,38
2017-04-01 00:00:00,62
2017-06-01 00:00:00,34
2017-08-01 00:00:00,27
2017-11-01 00:00:00,30
2018-01-01 00:00:00,100
2018-04-01 00:00:00,15
2018-05-01 00:00:00,44
2018-09-01 00:00:00,34
2018-10-01 00:00:00,40
2019-01-01 00:00:00,18
2019-04-01 00:00:00,26
2019-05-01 00:00:00,57
2019-06-01 00:00:00,60
2019-07-01 00:00:00,40
2019-08-01 00:00:00,26
2019-09-01 00:00:00,19
2019-10-01 00:00:00,31
2019-11-01 00:00:00,33
2019-12-01 00:00:00,14
2020-01-01 00:00:00,19
2020-02-01 00:00:00,36
2020-04-01 00:00:00,40
2020-05-01 00:00:00,44
2020-06-01 00:00:00,26
2020-07-01 00:00:00,31
2020-09-01 00:00:00,43
2020-10-01 00:00:00,63
2020-11-01 00:00:00,19
2020-12-01 00:00:00,42
2021-02-01 00:00:00,28
2021-04-01 00:00:00,29
2021-05-01 00:00:00,74
2021-08-01 00:00:00,32
2021-10-01 00:00:00,37
2021-12-01 00:00:00,85
2022-02-01 00:00:00,35
2022-04-01 00:00:00,36
2022-05-01 00:00:00,16
2022-07-01 00:00:00,22
2022-08-01 00:00:00,30
2022-09-01 00:00:00,96
2022-10-01 00:00:00,16
2022-11-01 00:00:00,37
2022-12-01 00:00:00,32
