,MVT_GT_Los Angeles CA
2015-01-01 00:00:00,38
2015-02-01 00:00:00,40
2015-03-01 00:00:00,39
2015-04-01 00:00:00,41
2015-05-01 00:00:00,38
2015-06-01 00:00:00,51
2015-07-01 00:00:00,48
2015-08-01 00:00:00,36
2015-09-01 00:00:00,39
2015-10-01 00:00:00,32
2015-11-01 00:00:00,39
2015-12-01 00:00:00,38
2016-01-01 00:00:00,45
2016-02-01 00:00:00,47
2016-03-01 00:00:00,100
2016-04-01 00:00:00,45
2016-05-01 00:00:00,45
2016-06-01 00:00:00,44
2016-07-01 00:00:00,48
2016-08-01 00:00:00,42
2016-09-01 00:00:00,49
2016-10-01 00:00:00,37
2016-11-01 00:00:00,39
2016-12-01 00:00:00,47
2017-01-01 00:00:00,51
2017-02-01 00:00:00,44
2017-03-01 00:00:00,45
2017-04-01 00:00:00,43
2017-05-01 00:00:00,46
2017-06-01 00:00:00,58
2018-06-01 00:00:00,47
2020-02-01 00:00:00,50
2022-01-01 00:00:00,62
2022-03-01 00:00:00,50
