,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,27
2015-02-01 00:00:00,33
2015-03-01 00:00:00,30
2015-04-01 00:00:00,24
2015-05-01 00:00:00,17
2015-06-01 00:00:00,29
2015-07-01 00:00:00,83
2015-08-01 00:00:00,54
2015-09-01 00:00:00,78
2015-12-01 00:00:00,43
2016-02-01 00:00:00,83
2016-04-01 00:00:00,55
2016-05-01 00:00:00,55
2016-06-01 00:00:00,69
2016-08-01 00:00:00,25
2016-10-01 00:00:00,57
2016-12-01 00:00:00,52
2017-01-01 00:00:00,43
2017-02-01 00:00:00,29
2017-03-01 00:00:00,29
2017-04-01 00:00:00,38
2017-06-01 00:00:00,93
2017-07-01 00:00:00,24
2017-08-01 00:00:00,61
2017-09-01 00:00:00,24
2017-10-01 00:00:00,44
2018-01-01 00:00:00,69
2018-02-01 00:00:00,63
2018-03-01 00:00:00,56
2018-04-01 00:00:00,45
2018-05-01 00:00:00,47
2018-06-01 00:00:00,36
2018-07-01 00:00:00,23
2018-08-01 00:00:00,64
2018-09-01 00:00:00,42
2018-11-01 00:00:00,21
2018-12-01 00:00:00,55
2019-01-01 00:00:00,44
2019-03-01 00:00:00,28
2019-04-01 00:00:00,50
2019-05-01 00:00:00,38
2019-06-01 00:00:00,25
2019-07-01 00:00:00,27
2019-12-01 00:00:00,40
2020-01-01 00:00:00,62
2020-02-01 00:00:00,27
2020-04-01 00:00:00,20
2020-06-01 00:00:00,58
2020-07-01 00:00:00,16
2020-09-01 00:00:00,33
2020-10-01 00:00:00,61
2020-11-01 00:00:00,53
2020-12-01 00:00:00,29
2021-02-01 00:00:00,80
2021-03-01 00:00:00,32
2021-04-01 00:00:00,19
2021-08-01 00:00:00,35
2021-10-01 00:00:00,30
2021-12-01 00:00:00,100
2022-01-01 00:00:00,24
2022-02-01 00:00:00,54
2022-03-01 00:00:00,59
2022-04-01 00:00:00,18
2022-05-01 00:00:00,46
2022-06-01 00:00:00,36
2022-07-01 00:00:00,18
2022-09-01 00:00:00,33
2022-10-01 00:00:00,46
2022-11-01 00:00:00,86
2022-12-01 00:00:00,32
