,MVT_GT_Milwaukee WI
2015-01-01 00:00:00,19
2015-02-01 00:00:00,48
2015-07-01 00:00:00,41
2015-08-01 00:00:00,100
2015-10-01 00:00:00,37
2015-11-01 00:00:00,24
2016-01-01 00:00:00,39
2016-03-01 00:00:00,30
2016-04-01 00:00:00,28
2016-05-01 00:00:00,21
2016-06-01 00:00:00,35
2016-08-01 00:00:00,56
2016-09-01 00:00:00,26
2016-11-01 00:00:00,37
2016-12-01 00:00:00,18
2017-01-01 00:00:00,66
2017-02-01 00:00:00,33
2017-05-01 00:00:00,27
2017-06-01 00:00:00,23
2017-07-01 00:00:00,37
2017-08-01 00:00:00,36
2017-09-01 00:00:00,50
2017-10-01 00:00:00,36
2017-11-01 00:00:00,64
2017-12-01 00:00:00,33
2018-01-01 00:00:00,35
2018-03-01 00:00:00,33
2018-04-01 00:00:00,24
2018-05-01 00:00:00,30
2018-06-01 00:00:00,29
2018-07-01 00:00:00,48
2018-08-01 00:00:00,30
2018-10-01 00:00:00,20
2018-11-01 00:00:00,11
2018-12-01 00:00:00,49
2019-01-01 00:00:00,37
2019-02-01 00:00:00,16
2019-03-01 00:00:00,24
2019-04-01 00:00:00,27
2019-05-01 00:00:00,49
2019-07-01 00:00:00,56
2019-08-01 00:00:00,27
2019-09-01 00:00:00,30
2019-10-01 00:00:00,21
2019-11-01 00:00:00,29
2019-12-01 00:00:00,42
2020-01-01 00:00:00,44
2020-02-01 00:00:00,13
2020-03-01 00:00:00,19
2020-04-01 00:00:00,21
2020-06-01 00:00:00,13
2020-07-01 00:00:00,17
2020-08-01 00:00:00,23
2020-09-01 00:00:00,38
2020-10-01 00:00:00,28
2020-11-01 00:00:00,74
2020-12-01 00:00:00,41
2021-02-01 00:00:00,44
2021-03-01 00:00:00,10
2021-04-01 00:00:00,45
2021-05-01 00:00:00,33
2021-06-01 00:00:00,58
2021-07-01 00:00:00,38
2021-08-01 00:00:00,36
2021-09-01 00:00:00,96
2021-10-01 00:00:00,72
2021-11-01 00:00:00,52
2021-12-01 00:00:00,37
2022-01-01 00:00:00,59
2022-02-01 00:00:00,73
2022-03-01 00:00:00,18
2022-04-01 00:00:00,52
2022-05-01 00:00:00,44
2022-06-01 00:00:00,64
2022-07-01 00:00:00,45
2022-08-01 00:00:00,31
2022-09-01 00:00:00,35
2022-10-01 00:00:00,65
2022-11-01 00:00:00,76
2022-12-01 00:00:00,49
