,MVT_GT_Albuquerque-Santa Fe NM
2015-01-01 00:00:00,64
2015-03-01 00:00:00,45
2015-04-01 00:00:00,43
2015-06-01 00:00:00,68
2015-09-01 00:00:00,78
2016-01-01 00:00:00,87
2016-02-01 00:00:00,76
2016-08-01 00:00:00,52
2016-09-01 00:00:00,33
2016-10-01 00:00:00,86
2016-11-01 00:00:00,83
2016-12-01 00:00:00,38
2017-01-01 00:00:00,74
2017-02-01 00:00:00,55
2017-03-01 00:00:00,24
2017-04-01 00:00:00,20
2017-06-01 00:00:00,45
2017-07-01 00:00:00,36
2017-08-01 00:00:00,69
2017-09-01 00:00:00,48
2017-10-01 00:00:00,100
2017-11-01 00:00:00,60
2017-12-01 00:00:00,18
2018-02-01 00:00:00,32
2018-03-01 00:00:00,28
2018-04-01 00:00:00,75
2018-05-01 00:00:00,27
2018-06-01 00:00:00,49
2018-07-01 00:00:00,64
2018-08-01 00:00:00,52
2018-09-01 00:00:00,94
2018-12-01 00:00:00,26
2019-01-01 00:00:00,79
2019-04-01 00:00:00,39
2019-05-01 00:00:00,50
2019-06-01 00:00:00,29
2019-08-01 00:00:00,44
2019-09-01 00:00:00,40
2019-11-01 00:00:00,74
2019-12-01 00:00:00,64
2020-01-01 00:00:00,37
2020-02-01 00:00:00,19
2020-03-01 00:00:00,33
2020-05-01 00:00:00,35
2020-06-01 00:00:00,35
2020-07-01 00:00:00,21
2020-08-01 00:00:00,33
2020-09-01 00:00:00,39
2020-10-01 00:00:00,25
2020-11-01 00:00:00,35
2021-01-01 00:00:00,24
2021-02-01 00:00:00,40
2021-03-01 00:00:00,21
2021-04-01 00:00:00,75
2021-06-01 00:00:00,74
2021-07-01 00:00:00,50
2021-08-01 00:00:00,42
2021-09-01 00:00:00,37
2021-10-01 00:00:00,28
2021-12-01 00:00:00,61
2022-01-01 00:00:00,31
2022-02-01 00:00:00,40
2022-03-01 00:00:00,78
2022-04-01 00:00:00,15
2022-05-01 00:00:00,29
2022-06-01 00:00:00,29
2022-07-01 00:00:00,64
2022-08-01 00:00:00,84
2022-09-01 00:00:00,65
2022-10-01 00:00:00,62
2022-11-01 00:00:00,34
2022-12-01 00:00:00,40
