,MVT_GT_Tucson AZ
2015-04-01 00:00:00,93
2015-07-01 00:00:00,92
2016-01-01 00:00:00,32
2016-04-01 00:00:00,60
2016-06-01 00:00:00,83
2016-09-01 00:00:00,57
2017-01-01 00:00:00,55
2017-05-01 00:00:00,100
2017-06-01 00:00:00,27
2017-07-01 00:00:00,50
2017-08-01 00:00:00,33
2017-11-01 00:00:00,46
2018-03-01 00:00:00,68
2018-04-01 00:00:00,47
2018-10-01 00:00:00,48
2019-01-01 00:00:00,29
2019-03-01 00:00:00,38
2019-04-01 00:00:00,50
2019-05-01 00:00:00,37
2019-07-01 00:00:00,59
2019-08-01 00:00:00,22
2019-09-01 00:00:00,38
2019-10-01 00:00:00,45
2020-02-01 00:00:00,59
2020-03-01 00:00:00,33
2020-05-01 00:00:00,28
2020-06-01 00:00:00,24
2020-08-01 00:00:00,40
2020-10-01 00:00:00,41
2020-11-01 00:00:00,29
2020-12-01 00:00:00,24
2021-02-01 00:00:00,20
2021-03-01 00:00:00,37
2021-04-01 00:00:00,22
2021-05-01 00:00:00,22
2021-11-01 00:00:00,45
2021-12-01 00:00:00,25
2022-01-01 00:00:00,35
2022-02-01 00:00:00,35
2022-03-01 00:00:00,50
2022-04-01 00:00:00,45
2022-05-01 00:00:00,56
2022-06-01 00:00:00,31
2022-07-01 00:00:00,44
2022-08-01 00:00:00,28
2022-09-01 00:00:00,62
2022-10-01 00:00:00,31
2022-11-01 00:00:00,83
2022-12-01 00:00:00,42
