,MVT_GT_New Orleans LA
09/01/2015 00:00:00,75
07/01/2016 00:00:00,76
08/01/2016 00:00:00,76
09/01/2016 00:00:00,48
10/01/2016 00:00:00,65
01/01/2017 00:00:00,42
06/01/2017 00:00:00,50
07/01/2017 00:00:00,79
09/01/2017 00:00:00,44
10/01/2017 00:00:00,63
04/01/2018 00:00:00,53
08/01/2018 00:00:00,60
10/01/2018 00:00:00,41
11/01/2018 00:00:00,51
12/01/2018 00:00:00,85
03/01/2019 00:00:00,38
05/01/2019 00:00:00,63
06/01/2019 00:00:00,72
07/01/2019 00:00:00,53
09/01/2019 00:00:00,61
11/01/2019 00:00:00,48
01/01/2020 00:00:00,91
02/01/2020 00:00:00,37
03/01/2020 00:00:00,44
04/01/2020 00:00:00,60
05/01/2020 00:00:00,56
06/01/2020 00:00:00,54
07/01/2020 00:00:00,41
08/01/2020 00:00:00,65
09/01/2020 00:00:00,38
10/01/2020 00:00:00,44
11/01/2020 00:00:00,36
03/01/2021 00:00:00,48
04/01/2021 00:00:00,50
05/01/2021 00:00:00,44
06/01/2021 00:00:00,37
11/01/2021 00:00:00,41
01/01/2022 00:00:00,50
02/01/2022 00:00:00,62
03/01/2022 00:00:00,59
04/01/2022 00:00:00,100
07/01/2022 00:00:00,66
08/01/2022 00:00:00,60
09/01/2022 00:00:00,53
10/01/2022 00:00:00,53
11/01/2022 00:00:00,68
12/01/2022 00:00:00,61
