,MVT_GT_New Orleans LA
01/01/2015 00:00:00,71
03/01/2015 00:00:00,62
09/01/2015 00:00:00,100
02/01/2016 00:00:00,66
03/01/2016 00:00:00,47
08/01/2016 00:00:00,73
01/01/2017 00:00:00,41
05/01/2017 00:00:00,43
06/01/2017 00:00:00,63
07/01/2017 00:00:00,58
09/01/2017 00:00:00,45
10/01/2017 00:00:00,57
11/01/2017 00:00:00,63
12/01/2017 00:00:00,41
03/01/2018 00:00:00,47
04/01/2018 00:00:00,43
05/01/2018 00:00:00,39
09/01/2018 00:00:00,50
11/01/2018 00:00:00,44
12/01/2018 00:00:00,67
05/01/2019 00:00:00,53
06/01/2019 00:00:00,61
07/01/2019 00:00:00,59
11/01/2019 00:00:00,36
01/01/2020 00:00:00,80
03/01/2020 00:00:00,31
04/01/2020 00:00:00,49
06/01/2020 00:00:00,46
09/01/2020 00:00:00,40
10/01/2020 00:00:00,63
03/01/2021 00:00:00,35
08/01/2021 00:00:00,59
09/01/2021 00:00:00,91
12/01/2021 00:00:00,50
01/01/2022 00:00:00,71
02/01/2022 00:00:00,84
03/01/2022 00:00:00,49
04/01/2022 00:00:00,73
07/01/2022 00:00:00,74
08/01/2022 00:00:00,43
09/01/2022 00:00:00,41
10/01/2022 00:00:00,37
11/01/2022 00:00:00,59
12/01/2022 00:00:00,67
