,MVT_GT_New Orleans LA
12/01/2015 00:00:00,92
02/01/2016 00:00:00,80
07/01/2016 00:00:00,78
09/01/2016 00:00:00,54
02/01/2017 00:00:00,61
06/01/2017 00:00:00,62
09/01/2017 00:00:00,50
10/01/2017 00:00:00,85
05/01/2018 00:00:00,61
08/01/2018 00:00:00,88
11/01/2018 00:00:00,88
12/01/2018 00:00:00,80
05/01/2019 00:00:00,60
06/01/2019 00:00:00,77
07/01/2019 00:00:00,60
11/01/2019 00:00:00,53
12/01/2019 00:00:00,52
01/01/2020 00:00:00,100
04/01/2020 00:00:00,90
05/01/2020 00:00:00,65
06/01/2020 00:00:00,39
08/01/2020 00:00:00,57
09/01/2020 00:00:00,44
10/01/2020 00:00:00,50
11/01/2020 00:00:00,66
03/01/2021 00:00:00,57
04/01/2021 00:00:00,44
06/01/2021 00:00:00,49
12/01/2021 00:00:00,56
01/01/2022 00:00:00,90
02/01/2022 00:00:00,68
03/01/2022 00:00:00,51
04/01/2022 00:00:00,71
07/01/2022 00:00:00,80
10/01/2022 00:00:00,52
11/01/2022 00:00:00,66
12/01/2022 00:00:00,61
