,MVT_GT_Cincinnati OH
03/01/2016 00:00:00,71
04/01/2016 00:00:00,45
06/01/2016 00:00:00,70
10/01/2016 00:00:00,43
11/01/2016 00:00:00,54
02/01/2017 00:00:00,51
03/01/2017 00:00:00,57
05/01/2017 00:00:00,34
06/01/2017 00:00:00,51
07/01/2017 00:00:00,56
08/01/2017 00:00:00,40
11/01/2017 00:00:00,54
12/01/2017 00:00:00,45
01/01/2018 00:00:00,70
02/01/2018 00:00:00,46
03/01/2018 00:00:00,58
05/01/2018 00:00:00,36
08/01/2018 00:00:00,60
09/01/2018 00:00:00,46
10/01/2018 00:00:00,39
12/01/2018 00:00:00,36
02/01/2019 00:00:00,55
06/01/2019 00:00:00,40
07/01/2019 00:00:00,62
08/01/2019 00:00:00,42
10/01/2019 00:00:00,27
11/01/2019 00:00:00,38
12/01/2019 00:00:00,47
01/01/2020 00:00:00,39
03/01/2020 00:00:00,40
05/01/2020 00:00:00,33
07/01/2020 00:00:00,38
08/01/2020 00:00:00,74
09/01/2020 00:00:00,29
12/01/2020 00:00:00,41
01/01/2021 00:00:00,42
02/01/2021 00:00:00,31
03/01/2021 00:00:00,44
04/01/2021 00:00:00,30
05/01/2021 00:00:00,30
06/01/2021 00:00:00,83
07/01/2021 00:00:00,46
08/01/2021 00:00:00,38
09/01/2021 00:00:00,40
10/01/2021 00:00:00,80
11/01/2021 00:00:00,81
12/01/2021 00:00:00,34
01/01/2022 00:00:00,46
02/01/2022 00:00:00,55
03/01/2022 00:00:00,65
04/01/2022 00:00:00,48
05/01/2022 00:00:00,43
06/01/2022 00:00:00,28
07/01/2022 00:00:00,98
08/01/2022 00:00:00,46
09/01/2022 00:00:00,81
10/01/2022 00:00:00,88
11/01/2022 00:00:00,53
12/01/2022 00:00:00,100
