,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-02-01 00:00:00,100
2015-03-01 00:00:00,42
2015-05-01 00:00:00,73
2015-08-01 00:00:00,26
2015-09-01 00:00:00,67
2016-03-01 00:00:00,43
2016-04-01 00:00:00,36
2016-05-01 00:00:00,50
2016-06-01 00:00:00,50
2016-07-01 00:00:00,32
2016-08-01 00:00:00,61
2016-09-01 00:00:00,29
2016-10-01 00:00:00,17
2016-11-01 00:00:00,48
2016-12-01 00:00:00,18
2017-02-01 00:00:00,39
2017-03-01 00:00:00,61
2017-05-01 00:00:00,39
2017-08-01 00:00:00,39
2018-01-01 00:00:00,66
2018-03-01 00:00:00,40
2018-07-01 00:00:00,43
2018-08-01 00:00:00,43
2018-09-01 00:00:00,31
2018-11-01 00:00:00,78
2019-01-01 00:00:00,24
2019-02-01 00:00:00,21
2019-04-01 00:00:00,62
2019-05-01 00:00:00,19
2019-08-01 00:00:00,60
2019-09-01 00:00:00,37
2019-10-01 00:00:00,58
2019-11-01 00:00:00,43
2019-12-01 00:00:00,70
2020-02-01 00:00:00,55
2020-04-01 00:00:00,43
2020-05-01 00:00:00,22
2020-09-01 00:00:00,47
2020-10-01 00:00:00,91
2020-12-01 00:00:00,48
2021-01-01 00:00:00,63
2021-04-01 00:00:00,30
2021-05-01 00:00:00,42
2021-06-01 00:00:00,34
2021-09-01 00:00:00,14
2021-11-01 00:00:00,51
2021-12-01 00:00:00,56
2022-02-01 00:00:00,67
2022-03-01 00:00:00,37
2022-09-01 00:00:00,44
