,MVT_GT_Columbus OH
2015-01-01 00:00:00,17
2015-03-01 00:00:00,16
2015-05-01 00:00:00,29
2015-07-01 00:00:00,21
2015-10-01 00:00:00,33
2015-11-01 00:00:00,35
2015-12-01 00:00:00,21
2016-01-01 00:00:00,60
2016-02-01 00:00:00,13
2016-03-01 00:00:00,19
2016-06-01 00:00:00,44
2016-07-01 00:00:00,30
2016-08-01 00:00:00,19
2016-10-01 00:00:00,13
2016-11-01 00:00:00,10
2016-12-01 00:00:00,14
2017-01-01 00:00:00,27
2017-03-01 00:00:00,25
2017-05-01 00:00:00,27
2017-08-01 00:00:00,21
2017-10-01 00:00:00,11
2017-11-01 00:00:00,32
2018-01-01 00:00:00,35
2018-02-01 00:00:00,18
2018-03-01 00:00:00,22
2018-05-01 00:00:00,12
2018-06-01 00:00:00,30
2018-08-01 00:00:00,56
2018-11-01 00:00:00,55
2018-12-01 00:00:00,43
2019-01-01 00:00:00,38
2019-02-01 00:00:00,11
2019-03-01 00:00:00,25
2019-04-01 00:00:00,31
2019-05-01 00:00:00,41
2019-06-01 00:00:00,26
2019-07-01 00:00:00,22
2019-08-01 00:00:00,24
2019-09-01 00:00:00,56
2019-10-01 00:00:00,18
2019-11-01 00:00:00,31
2019-12-01 00:00:00,32
2020-01-01 00:00:00,21
2020-02-01 00:00:00,36
2020-04-01 00:00:00,23
2020-05-01 00:00:00,8
2020-07-01 00:00:00,34
2020-08-01 00:00:00,31
2020-09-01 00:00:00,24
2020-10-01 00:00:00,23
2020-11-01 00:00:00,26
2020-12-01 00:00:00,27
2021-01-01 00:00:00,34
2021-02-01 00:00:00,40
2021-03-01 00:00:00,46
2021-04-01 00:00:00,14
2021-05-01 00:00:00,13
2021-06-01 00:00:00,22
2021-07-01 00:00:00,65
2021-08-01 00:00:00,39
2021-09-01 00:00:00,21
2021-10-01 00:00:00,17
2021-11-01 00:00:00,32
2021-12-01 00:00:00,58
2022-01-01 00:00:00,64
2022-02-01 00:00:00,66
2022-03-01 00:00:00,75
2022-04-01 00:00:00,37
2022-05-01 00:00:00,47
2022-06-01 00:00:00,36
2022-07-01 00:00:00,90
2022-08-01 00:00:00,56
2022-09-01 00:00:00,47
2022-10-01 00:00:00,62
2022-11-01 00:00:00,32
2022-12-01 00:00:00,100
