,MVT_GT_El Paso TX
2015-03-01 00:00:00,100
2015-08-01 00:00:00,23
2015-09-01 00:00:00,26
2016-01-01 00:00:00,14
2016-04-01 00:00:00,26
2016-05-01 00:00:00,13
2016-07-01 00:00:00,32
2016-11-01 00:00:00,13
2017-01-01 00:00:00,41
2017-04-01 00:00:00,44
2017-06-01 00:00:00,14
2017-08-01 00:00:00,16
2017-10-01 00:00:00,33
2017-11-01 00:00:00,28
2017-12-01 00:00:00,30
2018-01-01 00:00:00,19
2018-03-01 00:00:00,22
2018-04-01 00:00:00,15
2018-05-01 00:00:00,15
2018-06-01 00:00:00,18
2018-07-01 00:00:00,16
2018-08-01 00:00:00,12
2018-09-01 00:00:00,15
2018-10-01 00:00:00,64
2018-11-01 00:00:00,38
2019-03-01 00:00:00,12
2019-07-01 00:00:00,28
2019-09-01 00:00:00,32
2019-10-01 00:00:00,10
2019-11-01 00:00:00,16
2019-12-01 00:00:00,16
2020-02-01 00:00:00,13
2020-05-01 00:00:00,25
2020-09-01 00:00:00,16
2020-12-01 00:00:00,32
2021-02-01 00:00:00,13
2021-03-01 00:00:00,10
2021-04-01 00:00:00,18
2021-05-01 00:00:00,20
2021-08-01 00:00:00,31
2021-09-01 00:00:00,15
2021-10-01 00:00:00,21
2021-11-01 00:00:00,18
2021-12-01 00:00:00,50
2022-02-01 00:00:00,22
2022-03-01 00:00:00,35
2022-04-01 00:00:00,16
2022-05-01 00:00:00,41
2022-06-01 00:00:00,18
2022-07-01 00:00:00,15
2022-09-01 00:00:00,36
2022-10-01 00:00:00,19
2022-11-01 00:00:00,8
2022-12-01 00:00:00,21
