,MVT_GT_Colorado Springs-Pueblo CO
2015-01-01 00:00:00,65
2015-04-01 00:00:00,53
2015-09-01 00:00:00,53
2016-03-01 00:00:00,43
2016-09-01 00:00:00,42
2016-10-01 00:00:00,56
2017-01-01 00:00:00,24
2017-02-01 00:00:00,58
2017-05-01 00:00:00,28
2017-06-01 00:00:00,36
2017-07-01 00:00:00,31
2017-08-01 00:00:00,89
2017-10-01 00:00:00,39
2017-11-01 00:00:00,67
2017-12-01 00:00:00,67
2018-01-01 00:00:00,24
2018-02-01 00:00:00,78
2018-04-01 00:00:00,40
2018-05-01 00:00:00,55
2018-06-01 00:00:00,63
2018-07-01 00:00:00,58
2018-08-01 00:00:00,87
2018-09-01 00:00:00,74
2018-10-01 00:00:00,29
2018-11-01 00:00:00,55
2018-12-01 00:00:00,53
2019-02-01 00:00:00,38
2019-03-01 00:00:00,38
2019-06-01 00:00:00,24
2019-07-01 00:00:00,87
2019-08-01 00:00:00,44
2019-09-01 00:00:00,25
2020-01-01 00:00:00,42
2020-05-01 00:00:00,35
2020-06-01 00:00:00,64
2020-07-01 00:00:00,46
2020-08-01 00:00:00,65
2020-09-01 00:00:00,37
2020-10-01 00:00:00,62
2021-01-01 00:00:00,98
2021-02-01 00:00:00,34
2021-05-01 00:00:00,33
2021-07-01 00:00:00,94
2021-08-01 00:00:00,22
2021-09-01 00:00:00,100
2021-11-01 00:00:00,38
2021-12-01 00:00:00,27
2022-02-01 00:00:00,25
2022-03-01 00:00:00,53
2022-04-01 00:00:00,41
2022-05-01 00:00:00,53
2022-06-01 00:00:00,45
2022-07-01 00:00:00,63
2022-08-01 00:00:00,36
2022-09-01 00:00:00,54
2022-12-01 00:00:00,32
