,MVT_GT_Cincinnati OH
07/01/2015 00:00:00,62
03/01/2016 00:00:00,69
06/01/2016 00:00:00,52
07/01/2016 00:00:00,67
10/01/2016 00:00:00,73
11/01/2016 00:00:00,49
12/01/2016 00:00:00,36
01/01/2017 00:00:00,67
05/01/2017 00:00:00,41
06/01/2017 00:00:00,48
08/01/2017 00:00:00,38
09/01/2017 00:00:00,40
12/01/2017 00:00:00,42
01/01/2018 00:00:00,30
02/01/2018 00:00:00,49
03/01/2018 00:00:00,32
06/01/2018 00:00:00,35
07/01/2018 00:00:00,34
08/01/2018 00:00:00,53
09/01/2018 00:00:00,33
02/01/2019 00:00:00,49
04/01/2019 00:00:00,42
07/01/2019 00:00:00,34
08/01/2019 00:00:00,82
09/01/2019 00:00:00,42
10/01/2019 00:00:00,55
01/01/2020 00:00:00,53
02/01/2020 00:00:00,34
03/01/2020 00:00:00,38
04/01/2020 00:00:00,27
05/01/2020 00:00:00,36
06/01/2020 00:00:00,37
07/01/2020 00:00:00,30
08/01/2020 00:00:00,55
10/01/2020 00:00:00,36
12/01/2020 00:00:00,61
01/01/2021 00:00:00,42
03/01/2021 00:00:00,44
05/01/2021 00:00:00,36
06/01/2021 00:00:00,69
07/01/2021 00:00:00,33
08/01/2021 00:00:00,41
09/01/2021 00:00:00,50
10/01/2021 00:00:00,71
11/01/2021 00:00:00,47
12/01/2021 00:00:00,60
01/01/2022 00:00:00,49
03/01/2022 00:00:00,46
04/01/2022 00:00:00,51
05/01/2022 00:00:00,49
06/01/2022 00:00:00,36
07/01/2022 00:00:00,74
08/01/2022 00:00:00,57
09/01/2022 00:00:00,88
10/01/2022 00:00:00,82
11/01/2022 00:00:00,33
12/01/2022 00:00:00,100
