,MVT_GT_New Orleans LA
02/01/2015 00:00:00,51
08/01/2015 00:00:00,74
04/01/2016 00:00:00,50
08/01/2016 00:00:00,58
01/01/2017 00:00:00,35
05/01/2017 00:00:00,43
06/01/2017 00:00:00,52
08/01/2017 00:00:00,36
09/01/2017 00:00:00,37
10/01/2017 00:00:00,40
11/01/2017 00:00:00,54
12/01/2017 00:00:00,35
02/01/2018 00:00:00,46
03/01/2018 00:00:00,34
04/01/2018 00:00:00,45
08/01/2018 00:00:00,39
09/01/2018 00:00:00,53
11/01/2018 00:00:00,38
12/01/2018 00:00:00,79
05/01/2019 00:00:00,39
06/01/2019 00:00:00,65
08/01/2019 00:00:00,63
11/01/2019 00:00:00,34
12/01/2019 00:00:00,39
01/01/2020 00:00:00,83
03/01/2020 00:00:00,38
04/01/2020 00:00:00,53
05/01/2020 00:00:00,28
07/01/2020 00:00:00,31
08/01/2020 00:00:00,52
09/01/2020 00:00:00,36
10/01/2020 00:00:00,69
01/01/2021 00:00:00,36
03/01/2021 00:00:00,48
12/01/2021 00:00:00,42
01/01/2022 00:00:00,53
02/01/2022 00:00:00,63
03/01/2022 00:00:00,53
04/01/2022 00:00:00,73
06/01/2022 00:00:00,36
07/01/2022 00:00:00,61
08/01/2022 00:00:00,39
09/01/2022 00:00:00,33
10/01/2022 00:00:00,39
11/01/2022 00:00:00,100
12/01/2022 00:00:00,38
