,MVT_GT_Bakersfield CA
2015-06-01 00:00:00,58
2015-11-01 00:00:00,98
2016-03-01 00:00:00,47
2016-05-01 00:00:00,40
2016-09-01 00:00:00,33
2016-10-01 00:00:00,32
2017-02-01 00:00:00,64
2017-03-01 00:00:00,37
2017-04-01 00:00:00,30
2017-06-01 00:00:00,99
2017-07-01 00:00:00,40
2017-08-01 00:00:00,27
2017-09-01 00:00:00,46
2017-10-01 00:00:00,27
2017-11-01 00:00:00,53
2017-12-01 00:00:00,36
2018-01-01 00:00:00,24
2018-02-01 00:00:00,57
2018-04-01 00:00:00,35
2018-08-01 00:00:00,30
2018-09-01 00:00:00,27
2018-11-01 00:00:00,100
2019-07-01 00:00:00,43
2019-09-01 00:00:00,24
2019-10-01 00:00:00,42
2020-02-01 00:00:00,29
2020-03-01 00:00:00,34
2020-05-01 00:00:00,50
2020-07-01 00:00:00,24
2020-08-01 00:00:00,18
2020-09-01 00:00:00,32
2020-11-01 00:00:00,48
2020-12-01 00:00:00,17
2021-01-01 00:00:00,24
2021-02-01 00:00:00,28
2021-03-01 00:00:00,21
2021-06-01 00:00:00,42
2021-09-01 00:00:00,21
2021-10-01 00:00:00,28
2021-11-01 00:00:00,33
2021-12-01 00:00:00,59
2022-02-01 00:00:00,54
2022-03-01 00:00:00,77
2022-04-01 00:00:00,30
2022-06-01 00:00:00,17
2022-07-01 00:00:00,56
2022-08-01 00:00:00,41
2022-09-01 00:00:00,19
2022-11-01 00:00:00,25
2022-12-01 00:00:00,58
