,MVT_GT_Bakersfield CA
2015-01-01 00:00:00,26
2015-06-01 00:00:00,51
2015-07-01 00:00:00,30
2015-09-01 00:00:00,100
2016-06-01 00:00:00,24
2016-07-01 00:00:00,29
2016-09-01 00:00:00,18
2016-11-01 00:00:00,28
2017-02-01 00:00:00,15
2017-03-01 00:00:00,25
2017-04-01 00:00:00,25
2017-05-01 00:00:00,28
2017-08-01 00:00:00,28
2017-09-01 00:00:00,21
2017-10-01 00:00:00,24
2017-11-01 00:00:00,14
2018-05-01 00:00:00,25
2018-06-01 00:00:00,39
2018-09-01 00:00:00,13
2018-11-01 00:00:00,23
2019-05-01 00:00:00,13
2019-06-01 00:00:00,18
2019-07-01 00:00:00,20
2019-08-01 00:00:00,16
2019-10-01 00:00:00,24
2019-11-01 00:00:00,44
2020-01-01 00:00:00,22
2020-05-01 00:00:00,25
2020-06-01 00:00:00,15
2020-08-01 00:00:00,11
2020-09-01 00:00:00,20
2020-12-01 00:00:00,17
2021-01-01 00:00:00,29
2021-04-01 00:00:00,11
2021-05-01 00:00:00,40
2021-06-01 00:00:00,24
2021-07-01 00:00:00,25
2021-08-01 00:00:00,17
2021-11-01 00:00:00,15
2021-12-01 00:00:00,45
2022-01-01 00:00:00,28
2022-02-01 00:00:00,29
2022-04-01 00:00:00,13
2022-05-01 00:00:00,15
2022-07-01 00:00:00,20
2022-08-01 00:00:00,19
2022-11-01 00:00:00,12
2022-12-01 00:00:00,39
