,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-01-01 00:00:00,29
2015-02-01 00:00:00,55
2015-03-01 00:00:00,71
2015-06-01 00:00:00,52
2015-07-01 00:00:00,96
2015-08-01 00:00:00,78
2015-09-01 00:00:00,97
2016-01-01 00:00:00,20
2016-03-01 00:00:00,59
2016-05-01 00:00:00,42
2016-06-01 00:00:00,51
2016-07-01 00:00:00,68
2016-08-01 00:00:00,43
2016-09-01 00:00:00,31
2016-10-01 00:00:00,20
2016-11-01 00:00:00,45
2016-12-01 00:00:00,23
2017-02-01 00:00:00,26
2017-03-01 00:00:00,42
2017-04-01 00:00:00,24
2017-05-01 00:00:00,80
2017-06-01 00:00:00,41
2017-07-01 00:00:00,34
2017-08-01 00:00:00,42
2017-09-01 00:00:00,29
2017-10-01 00:00:00,66
2017-11-01 00:00:00,80
2017-12-01 00:00:00,59
2018-02-01 00:00:00,53
2018-04-01 00:00:00,38
2018-06-01 00:00:00,45
2018-07-01 00:00:00,73
2018-08-01 00:00:00,47
2018-09-01 00:00:00,28
2018-11-01 00:00:00,68
2018-12-01 00:00:00,34
2019-01-01 00:00:00,45
2019-02-01 00:00:00,29
2019-03-01 00:00:00,53
2019-04-01 00:00:00,64
2019-07-01 00:00:00,74
2019-08-01 00:00:00,74
2019-09-01 00:00:00,32
2019-11-01 00:00:00,40
2019-12-01 00:00:00,74
2020-01-01 00:00:00,69
2020-02-01 00:00:00,39
2020-04-01 00:00:00,44
2020-05-01 00:00:00,24
2020-06-01 00:00:00,51
2020-07-01 00:00:00,69
2020-08-01 00:00:00,55
2020-09-01 00:00:00,69
2020-10-01 00:00:00,54
2020-11-01 00:00:00,59
2020-12-01 00:00:00,61
2021-01-01 00:00:00,38
2021-02-01 00:00:00,72
2021-03-01 00:00:00,87
2021-04-01 00:00:00,54
2021-05-01 00:00:00,57
2021-06-01 00:00:00,39
2021-07-01 00:00:00,36
2021-08-01 00:00:00,15
2021-09-01 00:00:00,32
2021-10-01 00:00:00,63
2021-11-01 00:00:00,31
2021-12-01 00:00:00,49
2022-02-01 00:00:00,77
2022-03-01 00:00:00,38
2022-04-01 00:00:00,100
2022-05-01 00:00:00,37
2022-06-01 00:00:00,80
2022-07-01 00:00:00,60
2022-08-01 00:00:00,93
2022-09-01 00:00:00,43
2022-10-01 00:00:00,25
2022-11-01 00:00:00,76
2022-12-01 00:00:00,96
