,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,64
02/01/2016 00:00:00,40
03/01/2016 00:00:00,85
05/01/2016 00:00:00,60
06/01/2016 00:00:00,86
10/01/2016 00:00:00,72
11/01/2016 00:00:00,49
02/01/2017 00:00:00,50
07/01/2017 00:00:00,61
08/01/2017 00:00:00,39
11/01/2017 00:00:00,77
12/01/2017 00:00:00,64
03/01/2018 00:00:00,55
07/01/2018 00:00:00,51
08/01/2018 00:00:00,79
09/01/2018 00:00:00,86
10/01/2018 00:00:00,67
12/01/2018 00:00:00,56
01/01/2019 00:00:00,59
02/01/2019 00:00:00,41
04/01/2019 00:00:00,46
05/01/2019 00:00:00,38
07/01/2019 00:00:00,55
08/01/2019 00:00:00,74
09/01/2019 00:00:00,52
10/01/2019 00:00:00,57
11/01/2019 00:00:00,40
01/01/2020 00:00:00,67
02/01/2020 00:00:00,35
03/01/2020 00:00:00,55
04/01/2020 00:00:00,28
05/01/2020 00:00:00,39
06/01/2020 00:00:00,42
07/01/2020 00:00:00,33
08/01/2020 00:00:00,68
09/01/2020 00:00:00,42
10/01/2020 00:00:00,31
11/01/2020 00:00:00,45
12/01/2020 00:00:00,64
01/01/2021 00:00:00,42
02/01/2021 00:00:00,57
03/01/2021 00:00:00,60
05/01/2021 00:00:00,37
06/01/2021 00:00:00,85
07/01/2021 00:00:00,33
08/01/2021 00:00:00,70
09/01/2021 00:00:00,61
10/01/2021 00:00:00,100
11/01/2021 00:00:00,36
12/01/2021 00:00:00,36
01/01/2022 00:00:00,66
02/01/2022 00:00:00,40
03/01/2022 00:00:00,66
04/01/2022 00:00:00,51
05/01/2022 00:00:00,67
07/01/2022 00:00:00,99
08/01/2022 00:00:00,83
09/01/2022 00:00:00,99
10/01/2022 00:00:00,86
11/01/2022 00:00:00,40
12/01/2022 00:00:00,96
