,MVT_GT_Omaha NE
2015-02-01 00:00:00,48
2015-03-01 00:00:00,37
2015-05-01 00:00:00,23
2015-08-01 00:00:00,41
2015-09-01 00:00:00,28
2015-10-01 00:00:00,74
2015-11-01 00:00:00,23
2015-12-01 00:00:00,78
2016-05-01 00:00:00,40
2016-06-01 00:00:00,61
2016-07-01 00:00:00,28
2016-08-01 00:00:00,34
2016-09-01 00:00:00,24
2016-10-01 00:00:00,100
2016-11-01 00:00:00,40
2017-02-01 00:00:00,28
2017-03-01 00:00:00,15
2017-04-01 00:00:00,42
2017-05-01 00:00:00,26
2017-06-01 00:00:00,23
2017-07-01 00:00:00,38
2017-09-01 00:00:00,26
2017-12-01 00:00:00,27
2018-01-01 00:00:00,31
2018-02-01 00:00:00,24
2018-03-01 00:00:00,38
2018-05-01 00:00:00,40
2018-06-01 00:00:00,38
2018-07-01 00:00:00,17
2018-09-01 00:00:00,29
2018-10-01 00:00:00,31
2018-11-01 00:00:00,16
2019-01-01 00:00:00,22
2019-02-01 00:00:00,26
2019-03-01 00:00:00,40
2019-04-01 00:00:00,30
2019-05-01 00:00:00,71
2019-07-01 00:00:00,60
2019-09-01 00:00:00,17
2019-10-01 00:00:00,24
2019-11-01 00:00:00,43
2019-12-01 00:00:00,21
2020-01-01 00:00:00,13
2020-02-01 00:00:00,35
2020-04-01 00:00:00,28
2020-06-01 00:00:00,62
2020-07-01 00:00:00,25
2020-09-01 00:00:00,34
2020-10-01 00:00:00,46
2020-12-01 00:00:00,67
2021-02-01 00:00:00,53
2021-03-01 00:00:00,25
2021-04-01 00:00:00,30
2021-05-01 00:00:00,32
2021-07-01 00:00:00,35
2021-08-01 00:00:00,26
2021-09-01 00:00:00,27
2021-10-01 00:00:00,84
2021-12-01 00:00:00,57
2022-02-01 00:00:00,26
2022-03-01 00:00:00,17
2022-04-01 00:00:00,41
2022-05-01 00:00:00,26
2022-06-01 00:00:00,57
2022-07-01 00:00:00,52
2022-08-01 00:00:00,35
2022-09-01 00:00:00,55
2022-11-01 00:00:00,22
2022-12-01 00:00:00,44
