,MVT_GT_Cincinnati OH
03/01/2015 00:00:00,44
06/01/2015 00:00:00,50
09/01/2015 00:00:00,46
10/01/2015 00:00:00,44
03/01/2016 00:00:00,53
05/01/2016 00:00:00,32
06/01/2016 00:00:00,34
07/01/2016 00:00:00,100
10/01/2016 00:00:00,45
11/01/2016 00:00:00,51
01/01/2017 00:00:00,33
02/01/2017 00:00:00,32
03/01/2017 00:00:00,43
06/01/2017 00:00:00,49
07/01/2017 00:00:00,51
09/01/2017 00:00:00,31
12/01/2017 00:00:00,61
02/01/2018 00:00:00,28
03/01/2018 00:00:00,52
06/01/2018 00:00:00,54
07/01/2018 00:00:00,31
08/01/2018 00:00:00,48
09/01/2018 00:00:00,35
10/01/2018 00:00:00,26
12/01/2018 00:00:00,42
02/01/2019 00:00:00,51
04/01/2019 00:00:00,33
05/01/2019 00:00:00,33
06/01/2019 00:00:00,76
08/01/2019 00:00:00,52
09/01/2019 00:00:00,46
10/01/2019 00:00:00,53
11/01/2019 00:00:00,30
12/01/2019 00:00:00,27
01/01/2020 00:00:00,40
03/01/2020 00:00:00,39
05/01/2020 00:00:00,29
06/01/2020 00:00:00,24
07/01/2020 00:00:00,30
08/01/2020 00:00:00,45
09/01/2020 00:00:00,30
10/01/2020 00:00:00,37
11/01/2020 00:00:00,40
12/01/2020 00:00:00,50
01/01/2021 00:00:00,52
03/01/2021 00:00:00,52
05/01/2021 00:00:00,36
06/01/2021 00:00:00,46
07/01/2021 00:00:00,27
08/01/2021 00:00:00,27
09/01/2021 00:00:00,57
10/01/2021 00:00:00,79
11/01/2021 00:00:00,34
01/01/2022 00:00:00,60
03/01/2022 00:00:00,55
04/01/2022 00:00:00,41
05/01/2022 00:00:00,35
06/01/2022 00:00:00,54
07/01/2022 00:00:00,92
08/01/2022 00:00:00,65
09/01/2022 00:00:00,84
10/01/2022 00:00:00,79
12/01/2022 00:00:00,91
