,MVT_GT_Cincinnati OH
05/01/2015 00:00:00,92
08/01/2015 00:00:00,74
03/01/2016 00:00:00,98
07/01/2016 00:00:00,100
08/01/2016 00:00:00,57
10/01/2016 00:00:00,88
11/01/2016 00:00:00,100
12/01/2016 00:00:00,56
06/01/2017 00:00:00,48
07/01/2017 00:00:00,59
11/01/2017 00:00:00,46
12/01/2017 00:00:00,85
01/01/2018 00:00:00,50
02/01/2018 00:00:00,56
03/01/2018 00:00:00,59
04/01/2018 00:00:00,39
08/01/2018 00:00:00,72
10/01/2018 00:00:00,36
11/01/2018 00:00:00,41
12/01/2018 00:00:00,60
02/01/2019 00:00:00,49
04/01/2019 00:00:00,44
05/01/2019 00:00:00,53
06/01/2019 00:00:00,43
07/01/2019 00:00:00,51
08/01/2019 00:00:00,58
09/01/2019 00:00:00,80
10/01/2019 00:00:00,39
11/01/2019 00:00:00,46
12/01/2019 00:00:00,36
01/01/2020 00:00:00,49
02/01/2020 00:00:00,32
03/01/2020 00:00:00,45
04/01/2020 00:00:00,37
05/01/2020 00:00:00,36
08/01/2020 00:00:00,72
09/01/2020 00:00:00,41
10/01/2020 00:00:00,48
12/01/2020 00:00:00,67
01/01/2021 00:00:00,48
03/01/2021 00:00:00,66
05/01/2021 00:00:00,54
06/01/2021 00:00:00,88
07/01/2021 00:00:00,57
08/01/2021 00:00:00,40
09/01/2021 00:00:00,50
10/01/2021 00:00:00,88
11/01/2021 00:00:00,86
01/01/2022 00:00:00,68
03/01/2022 00:00:00,77
04/01/2022 00:00:00,72
05/01/2022 00:00:00,37
07/01/2022 00:00:00,91
08/01/2022 00:00:00,83
09/01/2022 00:00:00,80
10/01/2022 00:00:00,98
11/01/2022 00:00:00,37
12/01/2022 00:00:00,86
