,MVT_GT_Minneapolis-St. Paul MN
2015-01-01 00:00:00,28
2015-03-01 00:00:00,100
2015-04-01 00:00:00,71
2015-05-01 00:00:00,53
2015-06-01 00:00:00,76
2015-07-01 00:00:00,68
2015-08-01 00:00:00,64
2015-10-01 00:00:00,31
2015-11-01 00:00:00,31
2015-12-01 00:00:00,43
2016-01-01 00:00:00,65
2016-02-01 00:00:00,35
2016-03-01 00:00:00,23
2016-04-01 00:00:00,53
2016-05-01 00:00:00,42
2016-06-01 00:00:00,14
2016-07-01 00:00:00,14
2016-08-01 00:00:00,36
2016-09-01 00:00:00,20
2016-10-01 00:00:00,31
2016-11-01 00:00:00,31
2016-12-01 00:00:00,32
