,MVT_GT_Albuquerque-Santa Fe NM
2015-03-01 00:00:00,75
2015-04-01 00:00:00,47
2015-08-01 00:00:00,84
2015-10-01 00:00:00,43
2015-11-01 00:00:00,36
2015-12-01 00:00:00,37
2016-01-01 00:00:00,67
2016-06-01 00:00:00,60
2016-07-01 00:00:00,97
2016-10-01 00:00:00,67
2016-11-01 00:00:00,52
2016-12-01 00:00:00,38
2017-01-01 00:00:00,33
2017-02-01 00:00:00,70
2017-04-01 00:00:00,49
2017-06-01 00:00:00,58
2017-07-01 00:00:00,57
2017-08-01 00:00:00,91
2017-09-01 00:00:00,65
2017-10-01 00:00:00,73
2018-01-01 00:00:00,46
2018-02-01 00:00:00,27
2018-03-01 00:00:00,33
2018-04-01 00:00:00,79
2018-05-01 00:00:00,42
2018-06-01 00:00:00,59
2018-07-01 00:00:00,70
2018-08-01 00:00:00,97
2018-09-01 00:00:00,72
2018-10-01 00:00:00,35
2018-12-01 00:00:00,49
2019-01-01 00:00:00,79
2019-02-01 00:00:00,50
2019-03-01 00:00:00,60
2019-04-01 00:00:00,70
2019-05-01 00:00:00,37
2019-06-01 00:00:00,27
2019-07-01 00:00:00,37
2019-08-01 00:00:00,20
2019-09-01 00:00:00,39
2019-10-01 00:00:00,22
2019-11-01 00:00:00,85
2019-12-01 00:00:00,32
2020-01-01 00:00:00,35
2020-03-01 00:00:00,53
2020-06-01 00:00:00,61
2020-07-01 00:00:00,17
2020-08-01 00:00:00,29
2020-09-01 00:00:00,53
2020-10-01 00:00:00,33
2020-11-01 00:00:00,40
2020-12-01 00:00:00,29
2021-01-01 00:00:00,64
2021-03-01 00:00:00,32
2021-04-01 00:00:00,43
2021-06-01 00:00:00,71
2021-07-01 00:00:00,36
2021-08-01 00:00:00,74
2021-09-01 00:00:00,40
2021-10-01 00:00:00,32
2021-11-01 00:00:00,32
2021-12-01 00:00:00,56
2022-02-01 00:00:00,100
2022-03-01 00:00:00,58
2022-04-01 00:00:00,29
2022-05-01 00:00:00,44
2022-06-01 00:00:00,46
2022-07-01 00:00:00,52
2022-08-01 00:00:00,73
2022-09-01 00:00:00,20
2022-10-01 00:00:00,56
2022-11-01 00:00:00,56
2022-12-01 00:00:00,27
